OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
LILLE FLANDRES-CLUSES  74;25.0;127.0;167.0;
DUNKERQUE-LANDRY;25.0;127.0;167.0;
DUNKERQUE-ST GERVAIS LES BAINS LE FAYET;25.0;127.0;167.0;
AIX LES BAINS LE REVARD-DOUAI;25.0;127.0;167.0;
NANTES-AIME LA PLAGNE;25.0;127.0;167.0;
LAVAL-AVIGNON TGV;25.0;133.0;173.0;
SAUMUR-NIMES;25.0;133.0;173.0;
DIJON VILLE-BORDEAUX ST JEAN;30.0;137.0;185.0;
ANNEMASSE-ST BRIEUC;30.0;137.0;179.0;
CLUSES  74-LORIENT;30.0;137.0;179.0;
ST GERVAIS LES BAINS LE FAYET-AURAY;30.0;137.0;179.0;
REDON-ST MICHEL VALLOIRE;;137.0;179.0;
ANNECY-VANNES;30.0;137.0;179.0;
AIX LES BAINS LE REVARD-REDON;30.0;137.0;179.0;
HENDAYE-TGV HAUTE PICARDIE;30.0;144.0;174.0;
ARRAS-BAYONNE;30.0;144.0;174.0;
BIARRITZ-ARRAS;30.0;144.0;174.0;
BREST-BOURG ST MAURICE;30.0;147.0;190.0;
CARCASSONNE-DOUAI;30.0;150.0;188.0;
LILLE EUROPE-NICE VILLE;30.0;155.0;196.0;
LILLE EUROPE-ANTIBES;30.0;155.0;196.0;
TGV HAUTE PICARDIE-LES ARCS DRAGUIGNAN;30.0;155.0;196.0;
LAROCHE MIGENNES-LYON ST EXUPERY;20.0;73.0;97.0;
AEROPORT CDG 2 TGV ROISSY-ARRAS;15.0;50.0;61.0;
AEROPORT CDG 2 TGV ROISSY-VIERZON VILLE;20.0;62.0;78.0;
MULHOUSE VILLE-LONS LE SAUNIER;;52.0;68.0;
AIX EN PROVENCE TGV-CULMONT CHALINDREY;25.0;98.0;140.0;
CULMONT CHALINDREY-MARSEILLE ST CHARLES;25.0;98.0;140.0;
AVIGNON TGV-BOURG EN BRESSE;20.0;65.0;84.0;
NANCY VILLE-NICE VILLE;20.0;135.0;175.0;
LILLE FLANDRES-CHAMPAGNE ARDENNE;20.0;80.0;96.0;
MARNE LA VALLEE CHESSY-ST JEAN DE LUZ CIBOURE;25.0;112.0;147.0;
BEZIERS-PARIS GARE DE LYON;25.0;116.0;162.0;
PERPIGNAN-PARIS GARE DE LYON;25.0;124.0;175.0;
CANNES-PARIS NORD;25.0;132.0;185.0;
MARNE LA VALLEE CHESSY-THONON LES BAINS;25.0;108.0;152.0;
PARIS NORD-THONON LES BAINS;25.0;108.0;152.0;
PARIS GARE DE LYON-LE CREUSOT MONTCEAU MONTCHANIN;20.0;82.0;114.0;
MANTES LA JOLIE-VALENCE;25.0;103.0;143.0;
MEUSE-MARNE LA VALLEE CHESSY;15.0;44.0;68.0;
MEUSE-AEROPORT CDG 2 TGV ROISSY;15.0;44.0;68.0;
AEROPORT CDG 2 TGV ROISSY-SAVENAY;20.0;85.0;122.0;
LYON PART DIEU-FUTUROSCOPE;25.0;96.0;135.0;
AVIGNON-VENDOME VILLIERS SUR LOIR;25.0;125.0;167.0;
LORRAINE TGV-VENDOME VILLIERS SUR LOIR;25.0;106.0;140.0;
MARSEILLE ST CHARLES-PERPIGNAN;15.0;51.0;66.0;
LILLE FLANDRES-ECOLE VALENTIN;;120.0;155.0;
MULHOUSE VILLE-AVIGNON;;114.0;149.0;
CHAMBERY CHALLES LES EAUX-VERSAILLES CHANTIERS;25.0;103.0;136.0;
CHAMBERY CHALLES LES EAUX-ECOLE VALENTIN;;63.0;72.0;
AGEN-VALENCE;25.0;89.0;119.0;
CLUSES  74-ST GERVAIS LES BAINS LE FAYET;;6.8;10.4;
LYON PART DIEU - RENNES;25.0;113.0;149.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - BORDEAUX ST JEAN;;32.0;47.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
FACTURE BIGANOS - POITIERS;;51.0;74.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MONTPELLIER-DOUAI;30.0;144.0;184.0;
NIMES-DOUAI;30.0;144.0;184.0;
ST JEAN DE MAURIENNE ARVAN-MORLAIX;;147.0;190.0;
PERPIGNAN-ARRAS;30.0;150.0;188.0;
DOUAI-NARBONNE;30.0;150.0;188.0;
LILLE FLANDRES-LA SOUTERRAINE;25.0;114.0;144.0;
AVIGNON-BEZIERS;;43.0;54.0;
PARIS MONTPARNASSE 1 ET 2-ST PIERRE DES CORPS;15.0;65.0;89.0;
AVIGNON TGV-LYON PART DIEU;15.0;51.0;68.0;
MASSY TGV-ST PIERRE DES CORPS;15.0;65.0;89.0;
MULHOUSE VILLE-VALENCE TGV;20.0;93.0;122.0;
AIX EN PROVENCE TGV-MACON VILLE;20.0;81.0;104.0;
NIMES-BELFORT-MONTBELIARD TGV;20.0;119.0;152.0;
MONTPELLIER-BESANCON FRANCHE-COMTE TGV;20.0;111.0;144.0;
COLMAR-LYON ST EXUPERY;20.0;85.0;110.0;
AIX EN PROVENCE TGV-NEUFCHATEAU;25.0;98.0;140.0;
MASSY TGV-ARRAS;15.0;50.0;61.0;
DAX-PARIS AUSTERLITZ;25.0;110.0;143.0;
AEROPORT CDG 2 TGV ROISSY-PERPIGNAN;25.0;124.0;175.0;
PARIS GARE DE LYON-LES ARCS DRAGUIGNAN;25.0;132.0;185.0;
AEROPORT CDG 2 TGV ROISSY-LES ARCS DRAGUIGNAN;25.0;132.0;185.0;
ANNECY-PARIS NORD;25.0;104.0;140.0;
ST ETIENNE CHATEAUCREUX-AEROPORT CDG 2 TGV ROISSY;25.0;100.0;141.0;
MONTBARD-MANTES LA J. TGV;;57.0;78.0;
LUNEVILLE-PARIS EST;20.0;82.0;118.0;
MACON LOCHE TGV-MONTAUBAN VILLE BOURBON;25.0;97.0;143.0;
LYON PART DIEU-NANTES;25.0;108.0;143.0;
LYON PERRACHE-POITIERS;25.0;96.0;135.0;
LYON PART DIEU-ECOLE VALENTIN;;51.0;68.0;
VENDOME VILLIERS SUR LOIR-LYON PART DIEU;25.0;95.0;132.0;
VENDOME VILLIERS SUR LOIR-LYON PERRACHE;25.0;95.0;132.0;
MEUSE-VENDOME VILLIERS SUR LOIR;25.0;87.0;115.0;
CULMONT CHALINDREY-VALENCE TGV;20.0;77.0;101.0;
COLMAR-ALBERTVILLE;25.0;106.0;126.0;
VERSAILLES CHANTIERS-MOUTIERS SALINS BRIDES;25.0;118.0;159.0;
AIX EN PROVENCE TGV-TOUL;25.0;117.0;151.0;
BOURG ST MAURICE-ECOLE VALENTIN;;78.0;97.0;
LA TESTE-ARCACHON;;1.6;3.8;
BETHUNE-LENS;;5.8;9.2;
CHARLEVILLE MEZIERES-SEDAN;;6.3;9.7;
NANCY VILLE-TOUL;;10.1;15.0;
MORLAIX-LANDERNEAU;;10.8;16.0;
BESANCON VIOTTE-MOUCHARD;;11.4;17.0;
ANTIBES-VENTIMIGLIA STAZIONE  (IT);;11.9;17.5;
LE TEIL-ORANGE;;12.6;18.5;
LES AUBRAIS ORLEANS-BLOIS;;13.7;20.0;
AIME LA PLAGNE-ALBERTVILLE;;14.6;21.0;
FONTAINEBLEAU AVON-SENS;;14.8;22.0;
DAX-HENDAYE;;19.5;27.0;
FONTAINEBLEAU AVON-LAROCHE MIGENNES;;23.0;35.0;
AIX LES BAINS LE REVARD-SALLANCHES COMBLOUX MEGEVE;;24.5;36.0;
MANTES LA J. TGV-YVETOT;;24.5;37.0;
MANTES LA JOLIE-YVETOT;;24.5;37.0;
AVIGNON-VALENCE;;25.0;38.0;
PERPIGNAN-SETE;;26.5;39.0;
ANNEMASSE-BOURG EN BRESSE;;30.0;43.0;
MARSEILLE ST CHARLES-ST RAPHAEL VALESCURE;;30.0;44.0;
NIORT-ST PIERRE DES CORPS;;34.0;48.0;
METZ VILLE-CHALONS EN CHAMPAGNE;;33.0;49.0;
CARENTAN-BERNAY;;37.0;52.0;
AGDE-MONTELIMAR;;39.0;57.0;
BIARRITZ-LIBOURNE;;42.0;61.0;
CHATEAUROUX-JUVISY TGV;15.0;43.0;65.0;
LE MANS-LA BAULE ESCOUBLAC;;44.0;65.0;
LANDRY-LYON ST EXUPERY;;45.0;66.0;
BELLEGARDE-LE CREUSOT MONTCEAU MONTCHANIN;;45.0;69.0;
LE CROISIC-ST PIERRE DES CORPS;;47.0;68.0;
BORDEAUX ST JEAN-TARBES;15.0;47.0;69.0;
BELFORT-MONTBARD;;50.0;77.0;
ANGERS ST LAUD-QUIMPER;;53.0;78.0;
ANGERS ST LAUD-GUINGAMP;;57.0;82.0;
IRUN-FUTUROSCOPE;;70.0;102.0;
ANGERS ST LAUD-BREST;;74.0;106.0;
BAYONNE-ST PIERRE DES CORPS;25.0;75.0;109.0;
EVREUX EMBRANCHEMENT-BERNAY;;13.2;26.0;
MASSY PALAISEAU-LISIEUX;;27.0;42.0;
VERSAILLES CHANTIERS-LISIEUX;;27.0;42.0;
CHAMBERY CHALLES LES EAUX-MARSEILLE ST CHARLES;25.0;89.0;119.0;
VERSAILLES CHANTIERS-LYON ST EXUPERY;25.0;97.0;133.0;
BELFORT-MONTBELIARD;;4.5;7.3;
BREAUTE BEUZEVILLE-ROUEN RIVE DROITE;;14.3;21.0;
LE HAVRE-LORRAINE TGV;20.0;85.0;118.0;
MEUSE-ROUEN RIVE DROITE;15.0;60.0;77.0;
MEUSE-MANTES LA JOLIE;15.0;44.0;68.0;
NIMES-TOUL;25.0;89.0;114.0;
THIONVILLE-MACON VILLE;25.0;85.0;113.0;
agde-TOULOUSE MATABIAU;;36.0;51.0;
DIJON VILLE-TOULON;25.0;95.0;124.0;
PERPIGNAN-PARIS MONTPARNASSE;25.0;124.0;175.0;
AGDE-PARIS MONTPARNASSE;25.0;116.0;162.0;
BOURG EN BRESSE-PARIS EST;20.0;84.0;121.0;
BORDEAUX ST JEAN-SETE;;69.0;100.0;
Massy TGV-plouaret tregor;20.0;91.0;127.0;
paris austerlitz-tours;15.0;65.0;89.0;
CHAMPAGNE ARDENNE-FUTUROSCOPE;25.0;93.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-MEUSE;25.0;111.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-TGV HAUTE PICARDIE;25.0;119.0;156.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-AVIGNON TGV;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARSEILLE ST CHARLES-RENNES;30.0;142.0;180.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AIX EN PROVENCE TGV-RENNES;30.0;142.0;180.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-PARIS MONTPARNASSE 1 ET 2;15.0;72.0;104.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
GUINGAMP-PARIS MONTPARNASSE 1 ET 2;20.0;88.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LOURDES-PARIS MONTPARNASSE 1 ET 2;25.0;118.0;156.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORIENT-AEROPORT CDG 2 TGV ROISSY;20.0;88.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-LYON PERRACHE;25.0;96.0;135.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
TOURS-FUTUROSCOPE;;20.0;28.5;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
VENDOME VILLIERS SUR LOIR-CHATELLERAULT;;27.0;40.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-LANNION;;52.0;77.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
STRASBOURG-POITIERS;30.0;143.0;184.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
QUIMPERLE-PARIS MONTPARNASSE 1 ET 2;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
RENNES - DOUAI;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LORRAINE TGV - POITIERS;25.0;116.0;154.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - MONTPELLIER;25.0;125.0;168.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - CHATELLERAULT;20.0;78.0;112.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PORNICHET - AEROPORT CDG2 TGV ROISSY;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
HENDAYE - PARIS MONTPARNASSE 1 ET 2;25.0;123.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AIX EN PROVENCE TGV-VALENCE;;48.0;70.0;
CAEN-MARNE LA VALLEE CHESSY;15.0;57.0;69.0;
LYON ST EXUPERY-MONTPELLIER;20.0;65.0;86.0;
TOURS-MARNE LA VALLEE CHESSY;15.0;65.0;89.0;
AVIGNON TGV-BELLEGARDE;;64.0;91.0;
VALENCE-LES ARCS DRAGUIGNAN;20.0;65.0;93.0;
PERPIGNAN-VALENCE;20.0;65.0;95.0;
AVIGNON TGV-LE CREUSOT MONTCEAU MONTCHANIN;20.0;68.0;100.0;
VALENCE TGV-MENTON;20.0;72.0;102.0;
MACON LOCHE TGV-TOULON;20.0;81.0;109.0;
LE MANS-CHAMPAGNE ARDENNE;25.0;83.0;110.0;
ANGERS ST LAUD-TGV HAUTE PICARDIE;25.0;89.0;114.0;
MACON LOCHE TGV-ST RAPHAEL VALESCURE;25.0;95.0;134.0;
ROUEN RIVE DROITE-VALENCE TGV;25.0;112.0;154.0;
TGV HAUTE PICARDIE-VALENCE TGV;25.0;116.0;151.0;
LA BAULE ESCOUBLAC-LYON PART DIEU;25.0;113.0;150.0;
ANGERS ST LAUD-VALENCE TGV;25.0;116.0;151.0;
LYON PERRACHE-ST BRIEUC;25.0;122.0;156.0;
CAEN-MOUTIERS SALINS BRIDES;25.0;125.0;165.0;
LANDRY-BERNAY;25.0;125.0;165.0;
CLUSES  74-LILLE EUROPE;;127.0;167.0;
LILLE FLANDRES-CHAMBERY CHALLES LES EAUX;25.0;127.0;167.0;
ST JEAN DE MAURIENNE ARVAN-ARRAS;;127.0;167.0;
NANTES-SALLANCHES COMBLOUX MEGEVE;25.0;127.0;167.0;
LE HAVRE-AVIGNON TGV;25.0;129.0;177.0;
RENNES-ALBERTVILLE;25.0;132.0;170.0;
ANGERS ST LAUD-MONTPELLIER;25.0;133.0;173.0;
RENNES-ST MICHEL VALLOIRE;25.0;132.0;170.0;
GUINGAMP-SALLANCHES COMBLOUX MEGEVE;30.0;137.0;179.0;
BOURG ST MAURICE-ST BRIEUC;30.0;137.0;179.0;
LORIENT-AIME LA PLAGNE;30.0;137.0;179.0;
LA ROCHE SUR FORON-LORIENT;30.0;137.0;179.0;
PARIS MONTPARNASSE 1 ET 2 - TARBES;25.0;128.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
SAUMUR - LYON PERRACHE;25.0;99.0;140.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - LE MANS;;22.5;32.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - ST MALO;;34.0;48.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LAVAL - AURAY;;39.0;55.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
BORDEAUX ST JEAN - ST PIERRE DES CORPS;20.0;60.0;89.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - MORLAIX;;61.0;89.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PAU - FUTUROSCOPE;;70.0;100.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
QUIMPERLE - PARIS MONTPARNASSE 1 ET 2;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
SURGERES-NIORT;;9.6;14.3;
HAZEBROUCK-BETHUNE;;9.6;14.3;
LORIENT-AURAY;;9.6;14.3;
COLMAR-MULHOUSE VILLE;;9.8;15.0;
BORDEAUX ST JEAN-ARCACHON;;13.7;20.0;
SAUMUR-TOURS;;14.7;21.0;
LORIENT-QUIMPER;;14.8;22.0;
MACON VILLE-LYON PART DIEU;;16.5;23.5;
MONACO MONTE CARLO-ST RAPHAEL VALESCURE;;17.5;24.0;
CHAMBERY CHALLES LES EAUX-ST MICHEL VALLOIRE;;18.5;26.0;
REIMS-CHARLEVILLE MEZIERES;;19.5;28.5;
DUNKERQUE-LILLE FLANDRES;;21.5;33.0;
LILLE EUROPE-TGV HAUTE PICARDIE;;22.5;33.0;
DAX-FACTURE BIGANOS;;22.5;33.0;
MODANE-AIX LES BAINS LE REVARD;;23.5;35.0;
MONTBARD-PONTARLIER;;24.5;33.0;
LYON PART DIEU-AIX LES BAINS LE REVARD;;24.5;37.0;
AVIGNON SUD-VALENCE;;25.0;38.0;
CALAIS VILLE-LILLE EUROPE;;25.5;39.0;
DIJON VILLE-MACON LOCHE TGV;;26.0;39.0;
BAYEUX-EVREUX EMBRANCHEMENT;;31.0;45.0;
BAR LE DUC-THIONVILLE;;26.0;40.0;
LYON ST EXUPERY-ANNECY;;28.5;42.0;
LE HAVRE-MANTES LA J. TGV;;32.0;46.0;
ANGERS ST LAUD-LA BAULE ESCOUBLAC;;32.0;46.0;
LYON PERRACHE-ANNEMASSE;;33.0;47.0;
TOURS-NIORT;;34.0;48.0;
CANNES-MARSEILLE ST CHARLES;;35.0;50.0;
CLUSES  74-BOURG EN BRESSE;;36.0;50.0;
PLOUARET TREGOR-VITRE;;36.0;51.0;
AGEN-CARCASSONNE;;37.0;54.0;
MACON LOCHE TGV-THONON LES BAINS;;39.0;55.0;
LYON PERRACHE-EVIAN LES BAINS;;40.0;57.0;
CLUSES  74-MACON LOCHE TGV;15.0;40.0;58.0;
LYON PART DIEU-MOUTIERS SALINS BRIDES;;41.0;60.0;
RENNES-QUIMPER;;42.0;61.0;
VILLENEUVE LES AVIGNONS-PERPIGNAN;;43.0;63.0;
MODANE-LYON ST EXUPERY;;42.0;65.0;
MACON VILLE-NEUFCHATEAU;15.0;45.0;67.0;
LYON ST EXUPERY-MONTBELIARD;15.0;46.0;68.0;
FACTURE BIGANOS-CHATELLERAULT;;51.0;75.0;
ANGERS ST LAUD-MASSY PALAISEAU;;57.0;107.0;
ANGOULEME-TARBES;20.0;63.0;90.0;
AGEN-BEAUNE;25.0;105.0;167.0;
LEPIN LE LAC LA BAUCHE-LILLE EUROPE;30.0;125.0;192.0;
AVIGNON-CHAMBERY CHALLES LES EAUX;;69.0;104.0;
VERSAILLES CHANTIERS-BERNAY;;24.0;37.0;
LYON ST EXUPERY-TOUL;20.0;63.0;100.0;
VENDOME VILLIERS SUR LOIR-LIBOURNE;;66.0;98.0;
MONTPELLIER-PARIS MONTPARNASSE 1 ET 2;25.0;114.0;160.0;
MASSY PALAISEAU-MARSEILLE ST CHARLES;25.0;116.0;162.0;
AIX EN PROVENCE TGV-MASSY PALAISEAU;25.0;116.0;162.0;
MULHOUSE VILLE-MARNE LA VALLEE CHESSY;20.0;114.0;155.0;
MULHOUSE VILLE-AEROPORT CDG 2 TGV ROISSY;20.0;114.0;155.0;
MACON LOCHE TGV-CHALON SUR SAONE;;15.5;23.0;
STRASBOURG-MONTBELIARD;;31.0;44.0;
BEZIERS-LE TEIL;15.0;42.0;62.0;
NANCY VILLE-MACON LOCHE TGV;;54.0;80.0;
STRASBOURG-MARSEILLE ST CHARLES;20.0;124.0;161.0;
METZ VILLE-Colmar;;46.0;62.0;
THIONVILLE-VALENCE TGV;25.0;115.0;151.0;
THIONVILLE-MONTPELLIER;25.0;131.0;177.0;
NEUFCHATEAU-SETE;25.0;99.0;129.0;
AIX-LES-BAINS - LE REVARD-VERSAILLES CHANTIERS;25.0;103.0;136.0;
VALENCE TGV-Hyères;20.0;58.0;84.0;
paris austerlitz-irun;25.0;112.0;147.0;
AEROPORT CDG 2 TGV ROISSY-LIBOURNE;20.0;96.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
QUIMPERLE-TGV HAUTE PICARDIE;25.0;106.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ARRAS-REDON;25.0;108.0;137.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORIENT-ARRAS;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
NIMES-ST PIERRE DES CORPS;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-ST NAZAIRE;25.0;86.0;125.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE CROISIC-AEROPORT CDG 2 TGV ROISSY;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-VANNES;20.0;88.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-TOULOUSE MATABIAU;25.0;109.0;142.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-FUTUROSCOPE;;25.0;37.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-PLOUARET TREGOR;;40.0;57.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
HENDAYE-ST PIERRE DES CORPS;25.0;79.0;113.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-AURAY;20.0;91.0;127.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
RENNES - TGV HAUTE PICARDIE;25.0;106.0;135.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - RENNES;25.0;113.0;144.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE FLANDRES - ANGOULEME;25.0;120.0;156.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - FUTUROSCOPE;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - VITRE;15.0;78.0;112.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - LE POULIGUEN;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ST MAIXENT DEUX SEVRES - PARIS MONTPARNASSE 1 ET 2;20.0;90.0;126.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - RENNES;20.0;93.0;131.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN - MASSY TGV;25.0;120.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
EVREUX EMBRANCHEMENT-MANTES LA J. TGV;;20.5;24.5;
AVIGNON TGV-VALENCE TGV;;33.0;44.0;
MONTPELLIER-VALENCE TGV;20.0;47.0;67.0;
VALENCE-NARBONNE;;58.0;84.0;
AIX EN PROVENCE TGV-LYON PART DIEU;20.0;67.0;89.0;
BEZIERS-LYON PART DIEU;20.0;70.0;95.0;
NICE VILLE-VALENCE TGV;20.0;72.0;102.0;
VALENCE TGV-ST RAPHAEL VALESCURE;20.0;72.0;102.0;
CARCASSONNE-LYON ST EXUPERY;20.0;79.0;109.0;
AIX EN PROVENCE TGV-LONS LE SAUNIER;20.0;85.0;113.0;
MARSEILLE ST CHARLES-LE CREUSOT MONTCEAU MONTCHANIN;25.0;82.0;118.0;
LES AUBRAIS ORLEANS-LILLE EUROPE;25.0;88.0;111.0;
LYON PERRACHE-ANTIBES;25.0;86.0;121.0;
LYON ST EXUPERY-TOULOUSE MATABIAU;25.0;86.0;122.0;
LORRAINE TGV-LILLE EUROPE;25.0;102.0;122.0;
CHATEAUROUX-LILLE EUROPE;25.0;105.0;132.0;
ANTIBES-BELLEGARDE;25.0;98.0;143.0;
FONTAINEBLEAU AVON-AVIGNON TGV;25.0;103.0;142.0;
LILLE EUROPE-POITIERS;25.0;109.0;143.0;
LILLE FLANDRES-POITIERS;25.0;109.0;143.0;
GUINGAMP-LE CREUSOT MONTCEAU MONTCHANIN;25.0;116.0;150.0;
ST BRIEUC-LE CREUSOT MONTCEAU MONTCHANIN;25.0;116.0;150.0;
LE HAVRE-BOURG ST MAURICE;25.0;121.0;160.0;
LE HAVRE-LANDRY;25.0;121.0;160.0;
ANGERS ST LAUD-MODANE;25.0;120.0;161.0;
LE MANS-ST GERVAIS LES BAINS LE FAYET;25.0;120.0;162.0;
LA ROCHELLE VILLE-ARRAS;25.0;122.0;155.0;
NEUFCHATEAU-NICE VILLE;25.0;124.0;161.0;
ALBERTVILLE-LISIEUX;25.0;125.0;165.0;
BREST-ARRAS;25.0;125.0;161.0;
BOURG ST MAURICE-ARRAS;25.0;127.0;167.0;
AIME LA PLAGNE-ARRAS;25.0;127.0;167.0;
CLUSES  74-DOUAI;;127.0;167.0;
DUNKERQUE-CLUSES  74;25.0;127.0;167.0;
DUNKERQUE-ANNEMASSE;25.0;127.0;167.0;
AVIGNON TGV-BREAUTE BEUZEVILLE;25.0;129.0;177.0;
GUINGAMP-MOUTIERS SALINS BRIDES;30.0;137.0;179.0;
MODANE-ST BRIEUC;;137.0;179.0;
LORIENT-BOURG ST MAURICE;30.0;137.0;179.0;
GUINGAMP-AIX LES BAINS LE REVARD;30.0;137.0;179.0;
LILLE FLANDRES-AVIGNON TGV;30.0;144.0;180.0;
AGEN-ARRAS;30.0;144.0;174.0;
ARRAS-MONTAUBAN VILLE BOURBON;30.0;144.0;174.0;
CLUSES  74-QUIMPER;30.0;147.0;190.0;
MORLAIX-MOUTIERS SALINS BRIDES;30.0;147.0;190.0;
TGV HAUTE PICARDIE-NARBONNE;30.0;150.0;188.0;
DOUAI-TOULOUSE MATABIAU;30.0;150.0;188.0;
TGV HAUTE PICARDIE-TOULON;30.0;155.0;196.0;
LE CROISIC-LYON ST EXUPERY;25.0;113.0;150.0;
LYON ST EXUPERY-LES ARCS DRAGUIGNAN;20.0;80.0;109.0;
BOULOGNE VILLE-PARIS NORD;15.0;66.0;86.0;
LYON ST EXUPERY-VALENCE TGV;;30.0;38.0;
DIJON VILLE-BELFORT-MONTBELIARD TGV;15.0;49.0;64.0;
MACON VILLE-MARSEILLE ST CHARLES;20.0;81.0;104.0;
VALENCE TGV-CHALON SUR SAONE;15.0;51.0;67.0;
AIX EN PROVENCE TGV-BESANCON FRANCHE-COMTE TGV;20.0;111.0;144.0;
AVIGNON TGV-BESANCON FRANCHE-COMTE TGV;20.0;91.0;120.0;
NANCY VILLE-ANTIBES;20.0;135.0;175.0;
METZ VILLE-ANTIBES;20.0;143.0;183.0;
LILLE FLANDRES-LORRAINE TGV;25.0;102.0;122.0;
PARIS NORD-ST RAPHAEL VALESCURE;25.0;132.0;185.0;
PARIS GARE DE LYON-ALBERTVILLE;25.0;115.0;154.0;
PARIS NORD-AIME LA PLAGNE;25.0;118.0;161.0;
PARIS GARE DE LYON-ST MICHEL VALLOIRE;25.0;113.0;154.0;
ANNECY-PARIS GARE DE LYON;25.0;104.0;140.0;
MASSY TGV-ANNECY;25.0;104.0;140.0;
AEROPORT CDG 2 TGV ROISSY-EVIAN LES BAINS;25.0;108.0;152.0;
MONTBARD-PARIS NORD;15.0;57.0;78.0;
MONTBARD-MARNE LA VALLEE CHESSY;15.0;57.0;78.0;
PARIS NORD-MONTELIMAR;25.0;105.0;144.0;
STRASBOURG-PARIS GARE DE LYON;25.0;107.0;143.0;
ST ETIENNE CHATEAUCREUX-MACON LOCHE TGV;;30.0;41.0;
LILLE EUROPE-SAVERNE;25.0;123.0;148.0;
AVIGNON TGV-ECOLE VALENTIN;;91.0;120.0;
COLMAR-MARNE LA VALLEE CHESSY;25.0;96.0;137.0;
MULHOUSE VILLE-BOURG ST MAURICE;25.0;102.0;127.0;
