OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
MARNE LA VALLEE CHESSY-LIBOURNE;20.0;96.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-CHAMPAGNE ARDENNE;25.0;102.0;133.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-LILLE EUROPE;25.0;119.0;155.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-MONTPELLIER;25.0;125.0;167.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
NIMES-RENNES;30.0;142.0;180.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PARIS MONTPARNASSE 1 ET 2-BAYONNE;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
DAX-PARIS MONTPARNASSE 1 ET 2;25.0;110.0;143.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG 2 TGV ROISSY-REDON;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MARNE LA VALLEE CHESSY-REDON;20.0;84.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-ST JEAN DE LUZ CIBOURE;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
PAU-MASSY TGV;25.0;112.0;147.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-MONTAUBAN VILLE BOURBON;25.0;109.0;142.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-SAVENAY;20.0;85.0;122.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
ANGOULEME-ARCACHON;;36.0;50.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-LES SABLES D'OLONNE;;41.0;60.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
QUIMPERLE-MARNE LA VALLEE CHESSY;20.0;95.0;134.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG2 TGV ROISSY - POITIERS;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - FUTUROSCOPE;20.0;79.0;113.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
TGV HAUTE PICARDIE - VANNES;;106.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - DOUAI;25.0;120.0;156.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AIX EN PROVENCE TGV - RENNES;30.0;148.0;188.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AGEN - PARIS MONTPARNASSE 1 ET 2;25.0;120.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
AEROPORT CDG2 TGV ROISSY - ST NAZAIRE;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - REDON;20.0;94.0;136.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
CONFLANS FIN D'OISE-ROUEN RIVE DROITE;;35.0;47.0;
LE TEIL-LYON PERRACHE;;35.0;47.0;
EVREUX EMBRANCHEMENT-AEROPORT CDG 2 TGV ROISSY;15.0;38.0;48.0;
PARIS EST-CHALONS EN CHAMPAGNE;15.0;44.0;61.0;
CROIX WASQUEHAL-PARIS NORD;15.0;63.0;82.0;
FONTAINEBLEAU AVON-LE CREUSOT MONTCEAU MONTCHANIN;;67.0;84.0;
LAROCHE MIGENNES-LYON PERRACHE;20.0;73.0;97.0;
CANNES-VALENCE;20.0;73.0;107.0;
DIJON VILLE-CHERBOURG;20.0;86.0;112.0;
RIVES-PARIS GARE DE LYON;;96.0;130.0;
STRASBOURG-TGV HAUTE PICARDIE;25.0;110.0;134.0;
