service_id,date,exception_type
7918,20210213,2
7918,20210220,2
7918,20210227,2
7919,20201217,1
7919,20201218,2
7920,20201211,1
7921,20201211,1
7924,20210305,1
7924,20201218,1
7924,20201224,1
7924,20201231,1
7925,20201225,2
7925,20210101,2
7926,20210305,1
7926,20201224,1
7926,20201231,1
7926,20201218,1
7926,20210108,1
7926,20210115,1
7926,20210122,1
7926,20210129,1
7926,20210205,1
7926,20210212,1
7926,20210219,1
7926,20210225,2
7926,20210304,2
7926,20201225,2
7926,20210101,2
7927,20201211,1
5694,20201224,1
5694,20201231,1
5694,20201225,2
5694,20210101,2
7928,20201212,1
5444,20201225,2
5444,20210101,2
118,20201212,1
7929,20201225,1
7929,20210101,1
7930,20201211,1
7931,20201217,1
7931,20201225,1
7931,20210226,1
7933,20201211,1
7934,20201211,1
7935,20210101,1
7936,20201218,1
7936,20201217,2
7938,20210212,1
7938,20210213,1
7938,20210214,1
7938,20210219,1
7938,20210220,1
7938,20210221,1
7938,20210226,1
7938,20210227,1
7938,20210228,1
7938,20210305,1
7941,20201211,1
2199,20201225,2
7945,20201207,1
7946,20201224,2
7950,20201225,2
7950,20210101,2
7951,20201217,1
7951,20201218,2
7952,20210213,2
7952,20210220,2
7952,20210227,2
7953,20201225,1
7953,20210101,1
79,20201211,1
7954,20210212,1
7954,20210213,1
7954,20210214,1
7954,20210219,1
7954,20210220,1
7954,20210221,1
7954,20210226,1
7954,20210227,1
7954,20210228,1
7954,20210305,1
7955,20201218,1
7955,20201217,2
7956,20201211,1
3410,20201224,2
3410,20201231,2
3881,20201224,1
3881,20201231,1
3881,20201225,2
3881,20210101,2
7958,20201207,1
7959,20201211,1
5487,20201224,2
5487,20201225,2
5487,20201231,2
5487,20210101,2
7961,20201217,1
7965,20210221,1
4018,20201210,1
5424,20201218,1
266,20201212,1
7966,20201211,1
7967,20210305,1
7967,20201224,1
7967,20201231,1
7967,20201218,1
7967,20210108,1
7967,20210115,1
7967,20210122,1
7967,20210129,1
7967,20210205,1
7967,20210212,1
7967,20210219,1
7967,20210225,2
7967,20210304,2
7967,20201225,2
7967,20210101,2
7969,20210226,2
7969,20210213,2
7970,20201207,1
7971,20210104,1
7974,20201217,1
7974,20201221,1
7974,20201222,1
7974,20201223,1
7974,20201228,1
7974,20201229,1
7974,20201230,1
7974,20210221,2
7977,20201214,1
7977,20201218,1
7977,20201219,1
7977,20201221,1
7977,20201224,1
7977,20201225,1
7977,20201226,1
7977,20201228,1
7977,20201231,1
7977,20210101,1
7977,20210102,1
7977,20210306,1
7977,20210208,1
7977,20210212,1
7977,20210215,1
7977,20210219,1
7977,20210222,1
7977,20210301,1
7977,20210305,1
7977,20210226,2
1043,20201225,2
7980,20201224,1
7980,20201231,1
7980,20201218,1
7980,20210108,1
7980,20210115,1
7980,20210122,1
7980,20210129,1
7980,20210205,1
7980,20210219,1
7980,20210226,1
7980,20210305,1
7980,20210211,2
7980,20201225,2
7980,20210101,2
7984,20210227,1
5002,20201225,1
5002,20210101,1
7985,20210213,1
7985,20210226,1
1293,20201211,1
7987,20201218,1
7988,20201207,1
7989,20210212,1
7989,20201224,2
7989,20201231,2
7991,20210101,1
7992,20201225,1
7992,20201219,1
7992,20210102,1
7992,20201213,1
7992,20201220,1
418,20201207,1
7994,20210226,1
7994,20210209,1
7994,20210210,1
7994,20210211,1
7994,20210213,1
7994,20210216,1
7994,20210217,1
7994,20210218,1
7994,20210220,1
7994,20210223,1
7994,20210224,1
7994,20210225,1
7994,20210227,1
7994,20210302,1
7994,20210303,1
7994,20210304,1
7994,20201217,1
7994,20201215,1
7994,20201216,1
7994,20201222,1
7994,20201223,1
7994,20201229,1
7994,20201230,1
7999,20201218,1
8001,20201225,1
8001,20210101,1
8001,20210227,2
8002,20201218,1
8008,20201224,1
8008,20201225,1
8008,20201231,1
8008,20210101,1
8008,20201218,1
8009,20201217,1
8010,20201225,2
8010,20210101,2
5481,20201224,2
5481,20201231,2
8012,20201211,1
8013,20210221,2
8015,20210220,2
8015,20210214,2
8016,20201213,1
8018,20210305,1
8018,20201224,1
8018,20201231,1
8018,20201218,1
8018,20210108,1
8018,20210115,1
8018,20210122,1
8018,20210129,1
8018,20210205,1
8018,20210212,1
8018,20210219,1
8018,20210225,2
8018,20210304,2
8018,20201225,2
8018,20210101,2
8019,20210213,2
8019,20210220,2
8019,20210227,2
8020,20201217,1
8020,20201218,2
8022,20201211,1
8023,20210101,1
8024,20201217,1
8024,20201225,1
8024,20210226,1
8025,20201218,1
8025,20201217,2
8026,20201212,1
8028,20210221,1
8030,20210214,1
8030,20210220,1
8031,20210213,1
8031,20210214,1
8031,20210220,1
8031,20210221,1
8031,20210227,1
8031,20210228,1
8034,20201207,1
8037,20201218,1
8040,20201225,2
8040,20210101,2
8041,20201214,1
8041,20201215,1
8041,20201216,1
8041,20201217,1
8041,20201219,1
8041,20210306,1
8041,20210208,1
8041,20210209,1
8041,20210210,1
8041,20210211,1
8041,20210215,1
8041,20210216,1
8041,20210217,1
8041,20210218,1
8041,20210222,1
8041,20210223,1
8041,20210224,1
8041,20210225,1
8041,20210301,1
8041,20210302,1
8041,20210303,1
8041,20210304,1
8041,20201221,1
8041,20201222,1
8041,20201223,1
8041,20201225,1
8041,20201226,1
8041,20201228,1
8041,20201229,1
8041,20201230,1
8041,20210101,1
8041,20210102,1
8042,20201213,1
8042,20201218,1
8042,20201220,1
8042,20210212,1
8042,20210213,1
8042,20210214,1
8042,20210219,1
8042,20210220,1
8042,20210221,1
8042,20210226,1
8042,20210227,1
8042,20210228,1
8042,20210305,1
8042,20201224,1
8042,20201227,1
8042,20201231,1
8042,20210103,1
2730,20201211,1
8044,20201207,1
8045,20201225,2
8045,20210101,2
8045,20210212,2
8046,20210305,1
8046,20201224,1
8046,20201231,1
8046,20201218,1
8046,20210108,1
8046,20210115,1
8046,20210122,1
8046,20210129,1
8046,20210205,1
8046,20210212,1
8046,20210219,1
8046,20210225,2
8046,20210304,2
8046,20201225,2
8046,20210101,2
8048,20201211,1
8049,20201225,2
8051,20201225,2
8052,20201218,1
8053,20210213,2
8054,20201218,1
8054,20201217,2
2235,20201225,1
2235,20210101,1
8057,20201224,1
8057,20201231,1
8057,20201225,2
8057,20210101,2
8058,20201211,1
8061,20201224,2
8061,20201231,2
8062,20201211,1
8066,20201217,1
8067,20201224,2
8067,20201231,2
8068,20201211,1
8069,20210226,2
8071,20210221,2
8071,20201225,2
8071,20210101,2
8074,20210220,2
8074,20210227,2
8075,20210212,1
8075,20201224,2
8075,20201231,2
8076,20210101,1
8077,20201225,1
8079,20201218,1
8081,20201218,1
8081,20201217,2
8082,20201210,1
8085,20201224,2
8085,20201231,2
8086,20201207,1
8090,20210226,1
8091,20210221,1
8092,20210226,1
8094,20201207,1
8097,20201217,1
8098,20210213,1
8105,20201218,1
8105,20201219,1
8105,20201224,1
8105,20201225,1
8105,20201226,1
8105,20201231,1
8105,20210101,1
8105,20210102,1
8105,20210219,1
8105,20210220,1
8105,20210226,1
8105,20210227,1
8105,20210305,1
8106,20201224,1
8106,20201231,1
8106,20210221,2
8106,20201225,2
8106,20210101,2
8108,20210212,1
4423,20201225,2
4423,20210101,2
8112,20201226,1
8112,20210102,1
8112,20201219,1
2055,20201224,1
2055,20201226,1
2055,20201231,1
2055,20210102,1
2055,20201219,1
8115,20201223,2
8115,20201224,2
8117,20201211,1
8118,20210219,2
8118,20210226,2
2215,20201224,1
2215,20201231,1
2215,20201225,2
2215,20210101,2
8119,20201223,1
1491,20201225,1
1491,20210101,1
1491,20201224,2
1491,20201231,2
1508,20201225,2
1508,20210101,2
234,20201224,2
234,20201231,2
248,20201224,1
248,20201231,1
248,20201225,2
248,20210101,2
5667,20201218,1
8121,20201209,1
8122,20201207,1
8123,20201224,2
8124,20201225,2
8124,20210101,2
8124,20210226,2
8125,20210304,1
8125,20201222,1
8125,20201223,1
8125,20201229,1
8125,20201230,1
8125,20201215,1
8125,20201216,1
8125,20201217,1
8125,20210105,1
8125,20210106,1
8125,20210107,1
8125,20210112,1
8125,20210113,1
8125,20210114,1
8125,20210119,1
8125,20210120,1
8125,20210121,1
8125,20210126,1
8125,20210127,1
8125,20210128,1
8125,20210202,1
8125,20210203,1
8125,20210204,1
8125,20210209,1
8125,20210210,1
8125,20210211,1
8125,20210216,2
8125,20210217,2
8125,20210223,2
8125,20210224,2
8125,20201224,2
8125,20201231,2
1783,20201225,2
1783,20210101,2
8126,20210220,2
8126,20210227,2
8129,20210304,1
8129,20201221,1
8129,20201222,1
8129,20201223,1
8129,20201228,1
8129,20201229,1
8129,20201230,1
8129,20201214,1
8129,20201215,1
8129,20201216,1
8129,20201217,1
8129,20210104,1
8129,20210105,1
8129,20210106,1
8129,20210107,1
8129,20210111,1
8129,20210112,1
8129,20210113,1
8129,20210114,1
8129,20210118,1
8129,20210119,1
8129,20210120,1
8129,20210121,1
8129,20210125,1
8129,20210126,1
8129,20210127,1
8129,20210128,1
8129,20210201,1
8129,20210202,1
8129,20210203,1
8129,20210204,1
8129,20210208,1
8129,20210209,1
8129,20210210,1
8129,20210211,1
8129,20210215,2
8129,20210216,2
8129,20210217,2
8129,20210222,2
8129,20210223,2
8129,20210224,2
8129,20201224,2
8129,20201231,2
5556,20201224,2
5556,20201231,2
8133,20210215,2
8133,20210216,2
8133,20210217,2
8133,20210218,2
8133,20210222,2
8133,20210223,2
8133,20210224,2
8133,20210225,2
321,20201212,1
8135,20201212,1
8137,20201221,1
8137,20201222,1
8137,20201225,1
8137,20201226,1
8137,20201219,1
8137,20201228,1
8137,20201229,1
8137,20201230,1
8137,20210101,1
8139,20210226,1
8140,20201224,2
8142,20201211,1
8144,20201219,1
8144,20201226,1
8144,20210215,2
8144,20210222,2
8145,20201223,1
5506,20201225,2
5506,20210101,2
5506,20210219,2
5506,20210226,2
261,20201218,1
5103,20201225,1
5103,20210101,1
8147,20201224,1
8147,20201231,1
8147,20210220,2
8147,20210227,2
8149,20201225,2
8149,20210101,2
8149,20210226,2
5581,20201211,1
1289,20201224,1
1289,20201231,1
1289,20201225,2
1289,20210101,2
8150,20201224,2
4733,20201224,1
4733,20201231,1
4733,20201225,2
4733,20210101,2
8151,20201223,1
8152,20201225,2
8152,20210101,2
8153,20201211,1
8154,20201223,2
8154,20201224,2
8155,20210226,1
8156,20210220,1
8156,20210227,1
8156,20201224,2
8156,20201231,2
8157,20201230,1
8158,20201223,1
8162,20210304,1
8162,20201221,1
8162,20201222,1
8162,20201223,1
8162,20201228,1
8162,20201229,1
8162,20201230,1
8162,20201214,1
8162,20201215,1
8162,20201216,1
8162,20201217,1
8162,20210104,1
8162,20210105,1
8162,20210106,1
8162,20210107,1
8162,20210111,1
8162,20210112,1
8162,20210113,1
8162,20210114,1
8162,20210118,1
8162,20210119,1
8162,20210120,1
8162,20210121,1
8162,20210125,1
8162,20210126,1
8162,20210127,1
8162,20210128,1
8162,20210201,1
8162,20210202,1
8162,20210203,1
8162,20210204,1
8162,20210208,1
8162,20210209,1
