Origine;Destination ;"100% ECO NE/NR
Prix d'appel 2nde";Plein Tarif 2nde;Plein Tarif 1ère
LIMOGES BENEDICTINS;CAHORS;15.0;34.0;52.0
LA SOUTERRAINE;GOURDON;15.0;34.2;51.2
ANGERS ST LAUD;LES AUBRAIS ORLEANS;15.0;34.5;51.8
BORDEAUX ST JEAN;ST PIERRE DES CORPS;15.0;49.6;74.4
BRIVE LA GAILLARDE;TOULOUSE MATABIAU;10.0;36.0;53.0
BRIVE LA GAILLARDE;CHATEAUROUX;15.0;38.0;58.0
LIMOGES BENEDICTINS;GOURDON;10.0;53.0;79.0
ANGOULEME;LES AUBRAIS ORLEANS;15.0;47.3;70.9
LA BAULE ESCOUBLAC;LES AUBRAIS ORLEANS;15.0;57.0;86.0
BORDEAUX ST JEAN;POITIERS;15.0;37.9;56.8
LUNEVILLE;SARREBOURG;10.0;9.6;14.4
NANCY VILLE;SAVERNE;15.0;18.0;28.0
LES AUBRAIS ORLEANS;ST PIERRE DES CORPS;15.0;20.4;30.5
LIMOGES BENEDICTINS;TOULOUSE MATABIAU;15.0;49.0;76.0
ANGOULEME;BORDEAUX ST JEAN;15.0;23.5;35.2
LIMOGES BENEDICTINS;LES AUBRAIS ORLEANS;15.0;41.0;64.0
STRASBOURG;LUNEVILLE;15.0;20.0;31.0
BORDEAUX ST JEAN;PARIS AUSTERLITZ;20.0;72.0;108.0
GOURDON;TOULOUSE MATABIAU;15.0;31.6;47.4
