Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
EMBRUN;LUC EN DIOIS;;18.9;28.3;18.9
CARMAUX;CAPDENAC;;22.5;33.7;22.5
SAVERDUN;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
RODEZ;LES AUBRAIS - ORLÉANS;35.0;110.0;157.0;76.0
GOURDON;PARIS AUSTERLITZ;35.0;123.0;182.0;82.0
ASSIER;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
AUBIN;PARIS AUSTERLITZ;35.0;136.0;193.0;89.0
BRIANCON;MONTDAUPHIN GUILLESTRE;;6.4;9.5;6.4
RODEZ;CRANSAC;;9.5;14.2;9.5
CRANSAC;AUBIN;;1.4;2.1;1.4
LATOUR DE CAROL ENVEITG;TOULOUSE MATABIAU;;27.6;41.3;27.6
ST JEAN DE LUZ CIBOURE;LOURDES;;28.1;42.1;28.1
LOURDES;TOULOUSE MATABIAU;;29.5;44.2;29.5
ANDORRE L'HOSPITALET;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
LUZENAC GARANOU;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
MONTREJEAU GOURDAN POLIGNAN;LES AUBRAIS - ORLÉANS;35.0;130.0;188.0;93.0
CAUSSADE TARN ET GARONNE;PARIS AUSTERLITZ;35.0;130.0;190.0;93.0
MERENS LES VALS;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
VIVIEZ DECAZEVILLE;PARIS AUSTERLITZ;35.0;136.0;193.0;89.0
LUZENAC GARANOU;VIERZON VILLE;35.0;121.0;179.0;96.0
CARMAUX;PARIS AUSTERLITZ;35.0;136.0;195.0;93.0
ANDORRE L'HOSPITALET;MERENS LES VALS;;3.0;4.4;3.0
LOURDES;TARBES;;4.8;7.2;4.8
Rodez;St Christophe;;7.0;10.5;7.0
AUBIN;FIGEAC;;5.7;8.5;5.7
IRUN;BIARRITZ;;6.1;9.2;6.1
LATOUR DE CAROL ENVEITG;SAVERDUN;;20.4;30.5;20.4
MERENS LES VALS;AUTERIVE (31);;17.7;26.5;17.7
CRANSAC;ST DENIS PRES MARTEL;;16.2;24.3;16.2
AUBIN;ST DENIS PRES MARTEL;;15.7;23.6;15.7
IRUN;DAX;;16.0;24.0;16.0
CAUSSADE TARN ET GARONNE;GOURDON;;14.8;22.2;14.8
RODEZ;CAPDENAC;;12.9;19.3;12.9
LATOUR DE CAROL ENVEITG;LIMOGES BENEDICTINS;35.0;101.0;148.0;63.2
PORTE PUYMORENS;LIMOGES BENEDICTINS;35.0;101.0;148.0;61.4
CAHORS;PARIS AUSTERLITZ;35.0;123.0;182.0;82.0
LATOUR DE CAROL ENVEITG;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
MERENS LES VALS;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
AX LES THERMES;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
CHORGES;PARIS GARE DE LYON;35.0;147.0;222.0;112.0
CHORGES;PARIS BERCY;35.0;147.0;222.0;112.0
IRUN;MONTREJEAU GOURDAN POLIGNAN;15.0;38.7;58.1;38.7
CARMAUX;GRAMAT;15.0;35.6;53.4;35.6
