Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
HENDAYE;CHORGES;;7.9;11.8;7.9
EMBRUN;VEYNES DEVOLUY;;12.3;18.5;12.3
BRIANCON;CHORGES;;13.1;19.6;13.1
ORTHEZ;TARBES;;17.8;26.7;17.8
RODEZ;ASSIER;;16.5;24.7;16.5
ANDORRE L'HOSPITALET;TARASCON SUR ARIEGE;;9.3;13.9;9.3
VEYNES DEVOLUY;LUC EN DIOIS;;9.0;13.4;9.0
AX LES THERMES;FOIX;;8.5;12.7;8.5
ST CHRISTOPHE;FIGEAC;;8.8;13.2;8.8
ORTHEZ;PAU;;9.0;13.4;9.0
BAYONNE;MONTREJEAU GOURDAN POLIGNAN;15.0;34.3;51.4;34.3
ALBI VILLE;ST DENIS PRES MARTEL;20.0;46.2;69.3;46.2
HENDAYE;TARBES;15.0;32.1;48.1;32.1
L'ARGENTIERE LES ECRINS  (05);EMBRUN;;7.2;10.8;7.2
GRAMAT;ST DENIS PRES MARTEL;;5.9;8.9;5.9
CRANSAC;CAPDENAC;;5.1;7.6;5.1
ASSIER;GRAMAT;;4.0;5.9;4.0
BIARRITZ;PARIS AUSTERLITZ;35.0;143.0;208.0;101.0
PAMIERS;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
TARBES;MONTREJEAU GOURDAN POLIGNAN;;10.7;16.1;10.7
GAP;DIE;;16.3;24.5;16.3
ROCAMADOUR PADIRAC;PARIS AUSTERLITZ;35.0;124.0;177.0;80.0
ALBI VILLE;ALBI MADELEINE;;1.2;1.8;1.2
ALBI MADELEINE;ROCAMADOUR PADIRAC;15.0;31.6;47.4;31.6
DAX;MONTREJEAU GOURDAN POLIGNAN;15.0;31.9;47.8;31.9
TOULOUSE MATABIAU;GOURDON;;26.5;39.7;26.5
ALBI VILLE;ASSIER;;23.5;35.2;23.5
ANDORRE L'HOSPITALET;SAVERDUN;;17.1;25.6;17.1
ALBI MADELEINE;St Christophe;;20.1;30.1;20.1
HENDAYE;ORTHEZ;;18.0;26.9;18.0
MONTDAUPHIN GUILLESTRE;PARIS AUSTERLITZ;35.0;147.0;222.0;112.0
MONTAUBAN VILLE BOURBON;Cahors;;12.3;18.5;12.3
GAP;LUC EN DIOIS;;13.4;20.0;13.4
PORTE PUYMORENS;AUTERIVE (31);;20.7;31.0;20.7
ALBI VILLE;VIVIEZ DECAZEVILLE;;23.4;35.0;23.4
BRIANCON;LUC EN DIOIS;;26.3;39.4;26.3
ALBI VILLE;CRANSAC;;22.4;33.5;22.4
GAP;CREST;;22.2;33.3;22.2
LES CABANNES;AUTERIVE (31);;14.1;21.1;14.1
ST JEAN DE LUZ CIBOURE;LES AUBRAIS - ORLÉANS;35.0;129.0;190.0;90.0
LUC EN DIOIS;PARIS BERCY;35.0;128.0;195.0;87.0
LES CABANNES;PAMIERS;;9.1;13.7;9.1
CRANSAC;ASSIER;;9.5;14.2;9.5
TARASCON SUR ARIEGE;VIERZON VILLE;35.0;121.0;179.0;96.0
GRAMAT;LES AUBRAIS - ORLÉANS;35.0;105.0;148.0;68.0
MERENS LES VALS;LIMOGES BENEDICTINS;35.0;101.0;148.0;59.6
LES CABANNES;LIMOGES BENEDICTINS;35.0;101.0;148.0;57.2
LUZENAC GARANOU;TARASCON SUR ARIEGE;;3.9;5.9;3.9
LATOUR DE CAROL ENVEITG;AX LES THERMES;;8.5;12.7;8.5
MERENS LES VALS;TARASCON SUR ARIEGE;;7.5;11.3;7.5
ANDORRE L'HOSPITALET;LES CABANNES;;7.7;11.5;7.7
EMBRUN;GAP;;8.2;12.3;8.2
FOIX;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
PARIS GARE DE LYON;LES ARCS DRAGUIGNAN;35.0;160.0;247.0;129.0
CAUSSADE TARN ET GARONNE;SOUILLAC;;18.3;27.4;18.3
MONTAUBAN VILLE BOURBON;GOURDON;;18.4;27.6;18.4
MERENS LES VALS;SAVERDUN;;15.4;23.1;15.4
PORTE PUYMORENS;SAVERDUN;;18.0;26.9;18.0
HENDAYE;DAX;;16.8;25.1;16.8
CRANSAC;ROCAMADOUR PADIRAC;;13.5;20.2;13.5
TARASCON SUR ARIEGE;LIMOGES BENEDICTINS;35.0;101.0;148.0;56.1
CARMAUX;ST DENIS PRES MARTEL;15.0;31.5;47.3;31.5
MERENS LES VALS;TOULOUSE MATABIAU;;23.1;34.6;23.1
ST CHRISTOPHE;LES AUBRAIS - ORLÉANS;35.0;110.0;157.0;76.0
AUTERIVE (31);VIERZON VILLE;35.0;121.0;179.0;96.0
MONTDAUPHIN GUILLESTRE;CHORGES;;8.2;12.3;8.2
HENDAYE;BIARRITZ;;5.9;8.9;5.9
