Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
ROCHEFORT;JONZAC;;15.9;23.8;;
ROANNE;LYON PERRACHE;;17.4;26.0;;
BAYEUX;CHERBOURG;;18.1;27.2;;
ALENÇON;CHÂTEAU DU LOIR;;18.4;27.6;;
ORLÉANS;TOURS;;20.7;31.0;;
BOULOGNE VILLE;AMIENS;10;21.7;32.5;;
LISIEUX;CARENTAN;;21.7;32.5;;
SURDON;CHÂTEAU DU LOIR;;23.1;34.6;;
MUSSIDAN;TULLE (+ REBROUSSEMENT);;23.5;35.2;;
SAUMUR RIVE DROITE;VIERZON;10;28.9;43.3;;
VENDEUVRE;VESOUL;10;29.6;44.4;;
CAEN;ECOMMOY;10;30.4;45.6;;
PARIS NORD;RUE;15;31.9;47.8;;
BERNAY;CHERBOURG;10;33.3;50.0;;
BORDEAUX ST JEAN;EGLETONS;10;39.7;59.6;;
ISSOIRE;NÎMES;15;40.2;60.3;;
BOURGES;LYON PART DIEU;15;45.8;68.7;;
NOGENT SUR SEINE;BELFORT;20;47.9;71.8;;
BIARRITZ;TOULOUSE MATABIAU;20;49.0;73.5;;
SAUMUR RIVE DROITE;ROANNE;20;57.1;85.6;;
ANGERS ST LAUD;ROANNE;20;61.6;92.4;;
ST GEORGES D'AURAC;LANGEAC;;2.4;3.5;;
BRASSAC LES MINES;BRIOUDE;;3.9;5.9;;
LA CHARITÉ;FOURCHAMBAULT;;4.6;6.9;;
BRIOUDE;ST GEORGES D'AURAC;;5.5;8.2;;
BRIVE LA GAILLARDE;TULLE (+ REBROUSSEMENT);;5.9;8.9;;
GAILLON-AUBEVOYE;OISSEL;;7.5;11.3;;
MUSSIDAN;PÉRIGUEUX;;7.9;11.8;;
ST QUENTIN;CAUDRY;;8.0;12.0;;
SAINT AMAND MONTROND;MONTLUÇON;;10.1;15.1;;
BRIARE;POUILLY SUR LOIRE;;10.1;15.1;;
TARARE;LYON PERRACHE;;10.7;16.1;;
CLERMONT FERRAND;BRASSAC LES MINES;;10.9;16.3;;
BRIVE LA GAILLARDE;EGLETONS;;11.9;17.8;;
BAYONNE;ORTHEZ;;12.6;18.9;;
VERNEUIL-SUR-AVRE;SURDON;;12.6;18.9;;
ST ASTIER;CONDAT LE LARDIN;;12.6;18.9;;
FLERS;FOLLIGNY;;13.4;20.0;;
NOGENT SUR VERNISSON;TRACY SANCERRE;;13.4;20.0;;
BIARRITZ;ORTHEZ;;14.1;21.1;;
ST QUENTIN;MAUBEUGE;;14.1;21.1;;
GÉNOLHAC;NÎMES;;15.1;22.7;;
COUTRAS;NIVERSAC;;15.9;23.8;;
SALBRIS;CHATEAUNEUF SUR CHER;;16.5;24.7;;
ST GEORGES D'AURAC;LA BASTIDE ST LAURENT;;16.9;25.4;;
NOGENT SUR VERNISSON;POUGUES LES EAUX;;18.6;27.8;;
BOURGES;MOULINS SUR ALLIER;;18.9;28.3;;
MONTARGIS;FOURCHAMBAULT;;22.5;33.7;;
BRIOUDE;VILLEFORT;;23.8;35.7;;
NEMOURS;LA CHARITÉ;;24.2;36.3;;
LES AUBRAIS;CHATEAUNEUF SUR CHER;10;26.0;39.0;;
MÉZIDON;ECOMMOY;10;27.7;41.5;;
ORTHEZ;ST GAUDENS;;28.1;42.1;;
HENDAYE;LOURDES;10;29.6;44.4;;
MANTES-LA-JOLIE;CAEN;10;29.8;44.7;;
SURDON;ST PIERRE DES CORPS;10;30.0;44.9;;
BRASSAC LES MINES;GRAND COMBES-LA PISE;10;30.4;45.6;;
BAYONNE;LANNEMEZAN;;32.2;48.3;;
VERSAILLES-CHANTIERS;BRIOUZE;10;33.1;49.6;;
BIARRITZ;MONTRÉJEAU;10;35.5;53.2;;
BORDEAUX ST JEAN;TULLE (+ REBROUSSEMENT);10;35.5;53.2;;
VIERZON;ROANNE;15;37.7;56.5;;
CLERMONT FERRAND;ALÈS;10;38.6;57.9;;
PARIS EST;LONGUEVILLE (IDF);;22.9;34.4;;
POUILLY SUR LOIRE;LA CHARITÉ;;3.3;5.0;;
MONTARGIS;NOGENT SUR VERNISSON;;4.0;5.9;;
CONCHES;BEAUMONT LE ROGER;;4.2;6.3;;
CONCHES;SERQUIGNY;;5.5;8.2;;
LA ROCHELLE;ROCHEFORT;;6.6;9.8;;
VAL-DE-REUIL;ROUEN;;6.6;9.8;;
TRACY SANCERRE;POUGUES LES EAUX;;7.7;11.5;;
HENDAYE;BAYONNE;;7.9;11.8;;
BEUIL;CONCHES;;9.3;13.9;;
TERRASSON;TULLE (+ REBROUSSEMENT);;9.5;14.2;;
GIEN;TRACY SANCERRE;;10.3;15.4;;
ST GERMAIN DES FOSSÉS;ROANNE;;12.9;19.3;;
BAR SUR AUBE;CULMONT CHALINDREY;;15.7;23.6;;
MANTES-LA-JOLIE;BRÉVAL;;15.9;23.8;;
VIERZON;SAINCAIZE;;16.3;24.5;;
ROANNE;LYON PART DIEU;;17.4;26.0;;
TERRASSON;MEYMAC;;17.7;26.5;;
MONTPON-MÉNESTÉROL;CONDAT LE LARDIN;;17.8;26.7;;
ARGENTAN;VILLEDIEU-LES-POÊLES;;17.8;26.7;;
PARIS MONTPARNASSE VAUGIRARD;VERNEUIL-SUR-AVRE;10;20.9;31.4;;
PONT STE MAXENCE;BUSIGNY;;21.1;31.6;;
L'AIGLE;VIRE;;22.7;34.0;;
ROMILLY;CHAUMONT;;22.9;34.4;;
ROCHEFORT;ST ANDRÉ DE CUBZAC;;24.6;37.0;;
CLERMONT-DE-L'OISE;RANG-DU FLIERS;;26.0;39.0;;
LANGEAC;ALÈS;;26.3;39.4;;
NEMOURS;FOURCHAMBAULT;10;27.3;41.0;;
NEVERS;ROANNE;10;28.2;42.2;;
MUSSIDAN;USSEL;10;32.2;48.3;;
ST PIERRE DES CORPS;NEVERS;10;33.3;50.0;;
ISSOIRE;ALÈS;10;34.3;51.4;;
PARIS MONTPARNASSE VAUGIRARD;BRIOUZE;10;35.1;52.7;;
LIBOURNE;EGLETONS;10;35.2;52.9;;
BOURGES;PARIS AUSTERLITZ;15;35.8;53.8;;
LUÇON;BORDEAUX;10;39.6;59.4;;
SAUMUR RIVE DROITE;MOULINS SUR ALLIER;15;45.9;68.9;;
MONTLUCON VILLE;PARIS AUSTERLITZ;20;48.8;73.2;;
PARIS SAINT LAZARE;VALOGNES;20;49.0;73.5;;
SURDON;SÉES;;2.6;3.8;;
PAU;COARRAZE-NAY;;4.0;5.9;;
SAINT FLORENT SUR CHER;CHATEAUNEUF SUR CHER;;4.0;5.9;;
MANTES-LA-JOLIE;VERNON;;5.1;7.6;;
ST ASTIER;NIVERSAC;;6.4;9.5;;
LIBOURNE;MONTPON-MÉNESTÉROL;;8.5;12.7;;
L'AIGLE;SURDON;;8.7;13.0;;
COARRAZE-NAY;TARBES;;9.0;13.4;;
LE MANS;CHÂTEAU DU LOIR;;9.9;14.9;;
YVETOT;LE HAVRE;;10.1;15.1;;
BRÉVAL;CONCHES;;10.7;16.1;;
CHAUNY;BUSIGNY;;11.2;16.8;;
LUÇON;LA ROCHELLE;;12.9;19.3;;
TARBES;ST GAUDENS;;12.9;19.3;;
BEUIL;SERQUIGNY;;13.2;19.8;;
CONDAT LE LARDIN;CORRÈZE;;13.2;19.8;;
CAEN;CARENTAN;;14.1;21.1;;
BORDEAUX ST JEAN;MONTPON-MÉNESTÉROL;;14.4;21.6;;
GAILLON-AUBEVOYE;YVETOT;;15.7;23.6;;
NOGENT SUR SEINE;VENDEUVRE;;16.3;24.5;;
GIEN;NEVERS;;17.7;26.5;;
CONDAT LE LARDIN;MEYMAC;;18.6;27.8;;
LISIEUX;LISON;;18.6;27.8;;
ARVANT;LANGOGNE;;19.2;28.7;;
ST PIERRE DES CORPS;VIERZON;;19.8;29.7;;
PARIS SAINT LAZARE;VAL-DE-REUIL;10;19.9;29.9;;
BORDEAUX ST JEAN;PÉRIGUEUX;;22.5;33.7;;
COMPIÈGNE;AULNOYE;;23.1;34.6;;
COMPIÈGNE;MAUBEUGE;;24.8;37.2;;
BAR SUR AUBE;VESOUL;10;27.1;40.6;;
BOURGES;ST GERMAIN DES FOSSÉS;10;28.4;42.6;;
ST-JUST-EN-CHAUSSÉE;BOULOGNE SUR MER;10;28.8;43.1;;
COUTRAS;LIMOGES-BÉNÉDICTINS;10;29.0;43.5;;
PARIS AUSTERLITZ;SALBRIS;10;29.4;44.0;;
NANTES;LA ROCHELLE;10;29.6;44.4;;
ST JEAN DE LUZ CIBOURE;TARBES;10;30.6;45.8;;
LIBOURNE;LIMOGES-BÉNÉDICTINS;10;30.9;46.4;;
PARIS GARE DE BERCY;COSNE;15;31.5;47.3;;
PARIS NORD  AYMERIES;AULNOYE;15;34.0;51.0;;
BAR SUR AUBE;PARIS EST;15;34.5;51.8;;
SAINTES;ST MARIENS;;15.3;22.9;;
LIBOURNE;MEYMAC;10;37.4;56.1;;
BRASSAC LES MINES;NÎMES;10;37.9;56.8;;
LA PARDIEU;ALÈS;10;38.3;57.4;;
BOURGES;LYON PERRACHE;15;45.8;68.7;;
LYON VAISE;NEVERS;10;39.8;59.7;;
LYON VAISE;NANTES;15;80.7;121.0;;
BIARRITZ;BAYONNE;;2.8;4.1;;
ISSOIRE;BRASSAC LES MINES;;4.4;6.6;;
MUSSIDAN;ST ASTIER;;4.4;6.6;;
CHATEAUNEUF SUR CHER;SAINT AMAND MONTROND;;5.1;7.6;;
ABBEVILLE;RUE;;5.3;7.9;;
COUTRAS;EGLETONS;10;33.3;50.0;;
VILLEDIEU-LES-POÊLES;GRANVILLE;;6.8;10.2;;
LA BASTIDE ST LAURENT;GÉNOLHAC;;7.4;11.1;;
NIVERSAC;CONDAT LE LARDIN;;8.0;12.0;;
EVREUX;BERNAY;;10.4;15.6;;
LA BASTIDE ST LAURENT;GRAND COMBES-LA PISE;;10.6;15.8;;
LONGUEAU;NOYELLES;;12.2;18.2;;
BRIOUZE;VILLEDIEU-LES-POÊLES;;13.6;20.5;;
BRÉVAL;SERQUIGNY;;14.5;21.8;;
ORLÉANS;AMBOISE;;16.5;24.7;;
NOGENT SUR VERNISSON;LA CHARITÉ;;16.6;24.9;;
PONT STE MAXENCE;ST QUENTIN;;16.6;24.9;;
ST GEORGES D'AURAC;VILLEFORT;;20.4;30.5;;
VAL-DE-REUIL;LE HAVRE;;20.8;31.2;;
LANNEMEZAN;TOULOUSE MATABIAU;;21.4;32.0;;
COMPIÈGNE;CAMBRAI;;21.7;32.5;;
ARVANT;LA BASTIDE ST LAURENT;;22.4;33.5;;
LONGUEAU;BOULOGNE;;22.4;33.5;;
PAU;ST JEAN DE LUZ CIBOURE;10;22.4;33.5;;
ST ASTIER;CORRÈZE;;23.2;34.8;;
NIVERSAC;USSEL;;26.6;39.9;;
CREIL;RANG-DU FLIERS;10;27.8;41.7;;
LA ROCHE SUR YON;SAINTES;;29.1;43.7;;
LISIEUX;CHERBOURG;10;29.6;44.4;;
L'AIGLE;GRANVILLE;10;30.3;45.5;;
MUSSIDAN;MEYMAC;10;30.7;46.0;;
PARIS NORD;CAUDRY;10;30.9;46.4;;
VERNEUIL-SUR-AVRE;FOLLIGNY;10;31.4;47.1;;
LIBOURNE;CORRÈZE;10;33.1;49.6;;
NANTES;ROCHEFORT;15;33.1;49.6;;
CAEN;PARIS ST LAZARE;15;36.7;55.0;;
BORDEAUX ST JEAN;CORRÈZE;10;37.5;56.3;;
VERSAILLES-CHANTIERS;VIRE;15;38.6;57.9;;
EVREUX;CHERBOURG;15;39.6;59.4;;
BAYONNE;TOULOUSE MATABIAU;20;47.0;70.4;;
NANTES;ST GERMAIN DES FOSSÉS;25;63.7;95.6;;
ANGERS;LYON PERRACHE;15;72.5;108.7;;
PEYREHORADE;PAU;;13.6;20.5;;
FOURCHAMBAULT;NEVERS;;2.0;3.0;;
PÉRIGUEUX;NIVERSAC;;3.0;4.4;;
AULNOYE;MAUBEUGE;;3.2;4.7;;
RUE;RANG-DU FLIERS;;4.0;5.9;;
LISON;CARENTAN;;4.2;6.3;;
LE MANS;ECOMMOY;;4.8;7.2;;
YVETOT;BRÉAUTÉ-BEUZEVILLE;;5.7;8.5;;
HENDAYE;BIARRITZ;;5.9;8.9;;
COUTRAS;MEYMAC;10;35.5;53.2;;
ROANNE;TARARE;;9.0;13.4;;
SAINTES;JONZAC;;9.0;13.4;;
MÉZIDON;ARGENTAN;;9.1;13.7;;
TULLE (+ REBROUSSEMENT);MEYMAC;;10.6;15.8;;
PÉRIGUEUX;TERRASSON;;10.7;16.1;;
TARBES;MONTRÉJEAU;;10.7;16.1;;
LES AUBRAIS;SALBRIS;;11.5;17.3;;
VERNON;ROUEN;;11.9;17.8;;
LA BASTIDE ST LAURENT;ALÈS;;12.8;19.1;;
ARVANT;ST FLOUR;;13.1;19.6;;
ARGENTAN;VIRE;;13.9;20.9;;
CREIL;AMIENS;;14.8;22.2;;
CHAUNY;CAMBRAI;;15.3;22.9;;
MONTARGIS;TRACY SANCERRE;;15.9;23.8;;
NANTES;ANGERS ST LAUD;;16.0;24.0;;
LOURDES;ST GAUDENS;;16.0;24.0;;
SAINCAIZE;ST GERMAIN DES FOSSÉS;;16.3;24.5;;
GIEN;FOURCHAMBAULT;;16.8;25.1;;
CLERMONT FERRAND;ST GEORGES D'AURAC;;17.1;25.6;;
L'AIGLE;FLERS;;18.0;26.9;;
CHATELAILLON;JONZAC;;18.7;28.1;;
NOGENT;PARIS EST;10;19.8;29.7;;
SURDON;VILLEDIEU-LES-POÊLES;;20.5;30.8;;
CONDAT LE LARDIN;USSEL;;20.9;31.4;;
VICHY;TARARE;;21.2;31.8;;
LA ROCHELLE;MONTENDRE;;23.8;35.7;;
TROYES;CULMONT CHALINDREY;;24.2;36.3;;
PAU;HENDAYE;10;24.2;36.3;;
LISIEUX;VALOGNES;10;26.3;39.4;;
ISSOIRE;LA BASTIDE ST LAURENT;;26.4;39.6;;
ALENÇON;ST PIERRE DES CORPS;;26.5;39.7;;
L'AIGLE;VILLEDIEU-LES-POÊLES;;26.7;40.1;;
BAYONNE;TARBES;10;27.8;41.7;;
SÉES;TOURS;10;28.9;43.3;;
SURDON;TOURS;10;30.0;44.9;;
BORDEAUX ST JEAN;LA ROCHELLE;15;31.5;47.3;;
BRASSAC LES MINES;ALÈS;10;32.0;48.0;;
PAU;TOULOUSE MATABIAU;15;34.2;51.2;;
PARIS AUSTERLITZ;SAINT FLORENT SUR CHER;15;38.3;57.4;;
HENDAYE;MONTRÉJEAU;10;38.6;57.9;;
TOURS;ST GERMAIN DES FOSSÉS;15;43.2;64.8;;
ANGERS ST LAUD;SAINCAIZE;15;45.4;68.1;;
VERSAILLES-CHANTIERS;GRANVILLE;20;45.7;68.6;;
PARIS MONTPARNASSE VAUGIRARD;FOLLIGNY;20;45.9;68.9;;
GRANVILLE;PARIS MONTPARNASSE 3 VAUGIRARD;15;47.5;71.2;;
NANTES;ROANNE;25;69.4;104.1;;
BOURGES;LYON VAISE;15;45.8;68.7;;
LYON VAISE;VIERZON;15;49.1;73.7;;
LYON VAISE;MONTLUCON VILLE;15;38.6;57.9;;
CONDAT LE LARDIN;TERRASSON;;2.0;3.0;;
POUGUES LES EAUX;FOURCHAMBAULT;;2.2;3.2;;
HENDAYE;ST JEAN DE LUZ;;3.3;5.0;;
LANGRES;BELFORT;10;27.5;41.2;;
BRIARE;COSNE;;7.0;10.5;;
GIEN;COSNE;;8.7;13.0;;
ST MARIENS;BORDEAUX;;8.7;13.0;;
VIRE;FOLLIGNY;;8.7;13.0;;
COSNE;POUGUES LES EAUX;;9.3;13.9;;
ST-JUST-EN-CHAUSSÉE;AMIENS;;10.1;15.1;;
AMIENS;NOYELLES;;11.4;17.0;;
ORLÉANS;BLOIS;;11.5;17.3;;
SURDON;FLERS;;11.7;17.5;;
CHATELAILLON;SAINTES;;12.2;18.2;;
VERSAILLES-CHANTIERS;DREUX;;12.6;18.9;;
CLERMONT FERRAND;BRIOUDE;;13.5;20.2;;
LONGUEVILLE (IDF);TROYES;;14.5;21.8;;
NOGENT SUR VERNISSON;POUILLY SUR LOIRE;;14.7;22.0;;
CREIL;TERGNIER;;14.8;22.2;;
JONZAC;BORDEAUX;;14.8;22.2;;
EVREUX;LISIEUX;;15.3;22.9;;
MANTES-LA-JOLIE;ROUEN;;15.3;22.9;;
ST GAUDENS;TOULOUSE MATABIAU;;16.5;24.7;;
NOYON;CAMBRAI;;17.7;26.5;;
LE MANS;TOURS;;17.7;26.5;;
COMPIÈGNE;LE CATEAU;;18.7;28.1;;
COMPIÈGNE;CAUDRY;;18.9;28.3;;
ANGERS ST LAUD;ST PIERRE DES CORPS;;19.0;28.5;;
NOGENT SUR SEINE;BAR SUR AUBE;;19.9;29.9;;
ORLEANS;PARIS AUSTERLITZ;10;21.4;32.0;;
SURDON;FOLLIGNY;;22.7;34.0;;
MANTES-LA-JOLIE;LISIEUX;;23.2;34.8;;
ST PIERRE DES CORPS;BOURGES;;24.4;36.5;;
ST JEAN DE LUZ;COARRAZE-NAY;;24.8;37.2;;
SURDON;GRANVILLE;;24.8;37.2;;
BORDEAUX ST JEAN;ROCHEFORT;10;28.1;42.1;;
PARIS NORD;ABBEVILLE;10;29.1;43.7;;
LES AUBRAIS;VALLON EN SULLY;10;31.9;47.8;;
COARRAZE-NAY;TOULOUSE MATABIAU;10;32.1;48.1;;
DREUX;VILLEDIEU-LES-POÊLES;10;33.9;50.9;;
ROCHEFORT;MONTENDRE;;19.2;28.7;;
BRIOUDE;NÎMES;10;36.0;53.9;;
LORIENT;CHATELAILLON;20;52.6;78.9;;
LIMOGES BENEDICTINS;LYON PERRACHE;20;56.0;84.0;;
NANTES;MOULINS SUR ALLIER;20;59.5;89.3;;
CORRÈZE;EGLETONS;;4.2;6.3;;
LA BASTIDE ST LAURENT;VILLEFORT;;4.6;6.9;;
PONS;JONZAC;;4.6;6.9;;
VALLON EN SULLY;MONTLUÇON;;5.3;7.9;;
BEUIL;EVREUX;;6.1;9.2;;
ST QUENTIN;BUSIGNY;;6.1;9.2;;
NOGENT SUR VERNISSON;BRIARE;;6.6;9.8;;
CREIL;ST-JUST-EN-CHAUSSÉE;;6.8;10.2;;
LISIEUX;TROUVILLE-DEAUVILLE;;6.8;10.2;;
CREIL;COMPIÈGNE;;7.4;11.1;;
BORDEAUX ST JEAN;LIBOURNE;;8.0;12.0;;
GAILLON-AUBEVOYE;ROUEN;;9.8;14.6;;
LANGOGNE;GÉNOLHAC;;10.4;15.6;;
OISSEL;YVETOT;;10.4;15.6;;
PARIS NORD;CLERMONT-DE-L'OISE;;12.8;19.1;;
TULLE (+ REBROUSSEMENT);USSEL;;12.8;19.1;;
AMIENS;RUE;;13.1;19.6;;
BOURGES;NEVERS;;13.2;19.8;;
CREIL;LONGUEAU;;14.1;21.1;;
BRIARE;POUGUES LES EAUX;;14.2;21.4;;
NANTES;LA ROCHE SUR YON;;14.4;21.6;;
LES AUBRAIS;VIERZON;;15.0;22.5;;
LANGOGNE;ALÈS;;15.6;23.4;;
BRIOUDE;LANGOGNE;;17.7;26.5;;
VERNON;YVETOT;;17.7;26.5;;
LONGUEAU;ETAPLES LE TOUQUET;;18.0;26.9;;
NEVERS;ST GERMAIN DES FOSSÉS;;18.0;26.9;;
BERNAY;BAYEUX;;19.2;28.7;;
NOGENT SUR VERNISSON;FOURCHAMBAULT;;20.1;30.1;;
NOYON;AULNOYE;;22.4;33.5;;
LIBOURNE;THIVIERS;;22.5;33.7;;
PARIS MONTPARNASSE VAUGIRARD;L'AIGLE;10;24.4;36.5;;
PARIS SAINT LAZARE;BRÉVAL;;24.6;37.0;;
CHATELAILLON;ST ANDRÉ DE CUBZAC;10;27.6;41.3;;
BORDEAUX ST JEAN;THIVIERS;10;27.9;41.9;;
CREIL;ETAPLES LE TOUQUET;10;29.1;43.7;;
PARIS AUSTERLITZ;AMBOISE;15;33.2;49.8;;
RIOM;LYON PERRACHE;10;33.8;50.7;;
MÉZIDON;ST PIERRE DES CORPS;15;37.1;55.6;;
ORTHEZ;TOULOUSE MATABIAU;10;39.0;58.5;;
ROMILLY;LURE;15;41.6;62.5;;
PARIS EST;VESOUL;20;52.8;79.2;;
LYON PERRACHE;TOURS;15;63.0;94.5;;
PEYREHORADE;LANNEMEZAN;;28.3;42.4;;
LYON VAISE;ROANNE;;17.4;26.0;;
TULLE (+ REBROUSSEMENT);CORRÈZE;;4.0;5.9;;
ST MARIENS;ST ANDRÉ DE CUBZAC;;4.2;6.3;;
TERRASSON;BRIVE LA GAILLARDE;;4.6;6.9;;
TRACY SANCERRE;LA CHARITÉ;;5.1;7.6;;
SAINTES;PONS;;5.3;7.9;;
ST ANDRÉ DE CUBZAC;BORDEAUX;;5.3;7.9;;
MANTES-LA-JOLIE;BEUIL;;5.5;8.2;;
FLERS;VIRE;;6.6;9.8;;
NEMOURS;MONTARGIS;;7.2;10.8;;
BOURGES;CHATEAUNEUF SUR CHER;;8.0;12.0;;
SURDON;BRIOUZE;;9.0;13.4;;
AMIENS;ABBEVILLE;;9.3;13.9;;
COMPIÈGNE;TERGNIER;;9.6;14.4;;
ARVANT;NEUSSARGUES;;10.1;15.1;;
MONTPON-MÉNESTÉROL;MEYMAC;15;37.9;56.8;;
ST QUENTIN;CAMBRAI;;10.6;15.8;;
NOGENT SUR SEINE;TROYES;;11.1;16.6;;
MÉZIDON;SURDON;;11.5;17.3;;
LANGOGNE;GRAND COMBES-LA PISE;;13.6;20.5;;
PARIS NORD;NOYON;;19.0;28.5;;
EVREUX EMBRANCHEMENT;PARIS ST LAZARE;10;19.0;28.5;;
NANTES;LUÇON;;20.2;30.3;;
PARIS EST  SUR SEINE;ROMILLY;10;22.7;34.0;;
CULMONT CHALINDREY;BELFORT;;23.4;35.0;;
CREIL;CAUDRY;;24.1;36.1;;
MÉZIDON;LE MANS;;24.5;36.7;;
CHATELAILLON;ST MARIENS;;24.8;37.2;;
BIARRITZ;LOURDES;10;26.5;39.7;;
BERNAY;CARENTAN;10;26.5;39.7;;
CLERMONT FERRAND;LANGOGNE;;28.4;42.6;;
VERNEUIL-SUR-AVRE;VILLEDIEU-LES-POÊLES;10;29.6;44.4;;
PARIS MONTPARNASSE VAUGIRARD;SURDON;10;30.0;44.9;;
PARIS NORD;NOYELLES;15;30.7;46.0;;
NANTES;ST PIERRE DES CORPS;10;31.5;47.3;;
LANGEAC;NÎMES;10;32.1;48.1;;
MOULINS SUR ALLIER;LYON PART DIEU;10;32.6;48.9;;
PARIS SAINT LAZARE;PONT L'EVEQUE;10;33.1;49.6;;
VERNEUIL-SUR-AVRE;GRANVILLE;10;33.2;49.8;;
BORDEAUX ST JEAN;LIMOGES-BÉNÉDICTINS;10;35.4;53.0;;
PARIS AUSTERLITZ;ST PIERRE DES CORPS;15;35.8;53.8;;
VENDEUVRE;BELFORT;15;37.1;55.6;;
PARIS MONTPARNASSE VAUGIRARD;VILLEDIEU-LES-POÊLES;15;43.8;65.7;;
NOGENT SUR SEINE;LURE;15;44.1;66.1;;
CULMONT CHALINDREY;PARIS EST;15;45.3;67.9;;
PEYREHORADE;ORTHEZ;;7.2;10.8;;
CHAUNY;TERGNIER;;2.2;3.2;;
TRACY SANCERRE;POUILLY SUR LOIRE;;2.6;3.8;;
CREIL;PONT STE MAXENCE;;3.0;4.4;;
FOLLIGNY;GRANVILLE;;3.7;5.6;;
EVREUX EMBRANCHEMENT;CONCHES;;4.2;4.2;;
COSNE;POUILLY SUR LOIRE;;4.4;6.6;;
NOGENT SUR VERNISSON;GIEN;;4.4;6.6;;
GAILLON-AUBEVOYE;VAL-DE-REUIL;;4.4;6.6;;
BOURGES;SAINT FLORENT SUR CHER;;4.6;6.9;;
AMBOISE;SAINT PIERRE DES CORPS;;5.1;7.6;;
VERNON;VAL-DE-REUIL;;7.2;10.8;;
TARBES;LANNEMEZAN;;8.0;12.0;;
CHÂTEAU DU LOIR;TOURS;;10.1;15.1;;
MONTPON-MÉNESTÉROL;PÉRIGUEUX;;10.4;15.6;;
CLERMONT FERRAND;VICHY;;10.9;16.3;;
LIBOURNE;MUSSIDAN;;11.1;16.6;;
MARMANDE;AGEN;;11.2;16.8;;
THIVIERS;LIMOGES-BÉNÉDICTINS;;12.0;18.0;;
SAUMUR RIVE DROITE;ST PIERRE DES CORPS;;12.3;18.5;;
CREIL;CHAUNY;;13.8;20.7;;
BRIARE;FOURCHAMBAULT;;15.3;22.9;;
BRIARE;NEVERS;;16.2;24.3;;
LONGUEAU;RANG-DU FLIERS;;16.3;24.5;;
ST-JUST-EN-CHAUSSÉE;ABBEVILLE;;17.1;25.6;;
LA ROCHELLE;PONS;;17.2;25.8;;
PAU;LANNEMEZAN;;17.4;26.0;;
CAEN;VALOGNES;;18.4;27.6;;
VERNEUIL-SUR-AVRE;BRIOUZE;;19.0;28.5;;
ST-JUST-EN-CHAUSSÉE;NOYELLES;;19.0;28.5;;
ORLÉANS;SAINT PIERRE DES CORPS;;20.2;30.3;;
PÉRIGUEUX;CORRÈZE;;20.8;31.2;;
NEMOURS;TRACY SANCERRE;;21.1;31.6;;
VERNEUIL-SUR-AVRE;FLERS;;21.9;32.9;;
PONT STE MAXENCE;CAUDRY;;22.5;33.7;;
COUTRAS;TERRASSON;;22.7;34.0;;
BERNAY;LISON;;23.5;35.2;;
ALENÇON;TOURS;;26.5;39.7;;
VERNEUIL-SUR-AVRE;VIRE;;26.5;39.7;;
PARIS GARE DE BERCY;BRIARE;10;27.8;41.7;;
PONT STE MAXENCE;MAUBEUGE;10;28.1;42.1;;
LES AUBRAIS;SAINT AMAND MONTROND;10;28.6;43.0;;
BAYONNE;ST GAUDENS;10;35.8;53.8;;
LA PARDIEU;GRAND COMBES-LA PISE;10;36.7;55.0;;
PARIS MONTPARNASSE VAUGIRARD;FLERS;15;37.2;55.8;;
TOURS;CAEN;15;39.8;59.7;;
CLERMONT FERRAND;NÎMES;15;45.0;67.5;;
NANTES;BOURGES;15;48.5;72.7;;
NANTES;NEVERS;20;55.6;83.4;;
LYON VAISE;SAINCAIZE;10;38.5;57.8;;
BRÉVAL;BEUIL;;2.6;3.8;;
AMBOISE;TOURS;;5.7;8.5;;
ECOMMOY;CHÂTEAU DU LOIR;;6.4;9.5;;
VIERZON;BOURGES;;7.2;10.8;;
BUSIGNY;AULNOYE;;7.9;11.8;;
NOYELLES;ETAPLES LE TOUQUET;;8.2;12.3;;
RANG-DU FLIERS;BOULOGNE SUR MER;;8.2;12.3;;
ORTHEZ;PAU;;8.5;12.7;;
PONS;MONTENDRE;;8.8;13.2;;
ARGENTAN;ALENÇON;;9.1;13.7;;
CHATEAUNEUF SUR CHER;VALLON EN SULLY;;9.9;14.9;;
ABBEVILLE;ETAPLES LE TOUQUET;;10.3;15.4;;
MANTES-LA-JOLIE;EVREUX;;10.3;15.4;;
COSNE;FOURCHAMBAULT;;10.4;15.6;;
MANTES-LA-JOLIE;VAL-DE-REUIL;;10.7;16.1;;
LOURDES;LANNEMEZAN;;11.4;17.0;;
LA PARDIEU;ARVANT;;11.4;17.0;;
LES AUBRAIS;BLOIS;;11.5;17.3;;
COUTRAS;ST ASTIER;;11.5;17.3;;
CLERMONT-DE-L'OISE;LONGUEAU;;11.7;17.5;;
MÉZIDON;SÉES;;13.1;19.6;;
MANTES-LA-JOLIE;OISSEL;;13.2;19.8;;
VICHY;ROANNE;;14.4;21.6;;
ORTHEZ;LOURDES;;14.7;22.0;;
CAEN;SURDON;;15.1;22.7;;
MONTARGIS;POUILLY SUR LOIRE;;17.2;25.8;;
MOULINS SUR ALLIER;ROANNE;;19.0;28.5;;
NOYON;MAUBEUGE;;21.4;32.0;;
LONGUEAU;PARIS NORD;10;22.1;33.1;;
