Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
TERGNIER;CAMBRAI;;14.2;21.4;;
PONS;ST ANDRÉ DE CUBZAC;;14.4;21.6;;
TERGNIER;MAUBEUGE;;17.5;26.3;;
BORDEAUX ST JEAN;ST ASTIER;;20.1;30.1;;
LA ROCHELLE;JONZAC;;20.7;31.0;;
ARVANT;AUMONT AUBRAC;;20.9;31.4;;
RIOM;ROANNE;;20.9;31.4;;
PARIS GARE DE BERCY;MONTARGIS;;21.1;31.6;;
MONTARGIS;POUGUES LES EAUX;;21.5;32.3;;
NIVERSAC;EGLETONS;;21.8;32.7;;
MUSSIDAN;LIMOGES-BÉNÉDICTINS;;23.4;35.0;;
GAILLON-AUBEVOYE;LE HAVRE;;23.5;35.2;;
SALBRIS;VALLON EN SULLY;;24.1;36.1;;
PARIS GARE DE BERCY;GIEN;10;26.6;39.9;;
SÉES;ST PIERRE DES CORPS;10;28.9;43.3;;
PARIS MONTPARNASSE VAUGIRARD;ARGENTAN;15;31.7;47.6;;
EVREUX;CARENTAN;10;32.7;49.0;;
TOURS;NEVERS;10;33.7;50.5;;
CAEN;CHÂTEAU DU LOIR;10;33.8;50.7;;
CLERMONT FERRAND;LYON PERRACHE;10;35.5;53.2;;
TOURS;PARIS AUSTERLITZ;15;36.2;54.3;;
SAINCAIZE;LYON PART DIEU;10;38.5;57.8;;
LYON PART DIEU;MONTLUCON VILLE;15;38.6;57.9;;
PARIS EST;CHAUMONT;15;39.5;59.2;;
LANGRES;PARIS EST;15;43.6;65.4;;
CHERBOURG;PARIS ST LAZARE;20;51.9;77.8;;
VILLEFORT;TARASCON;25;64.3;96.4;;
LYON VAISE;ST GERMAIN DES FOSSES;10;27.7;41.5;;
BUSIGNY;CAUDRY;;2.8;4.1;;
PONT L'EVEQUE;TROUVILLE-DEAUVILLE;;3.2;4.7;;
VILLEDIEU-LES-POÊLES;FOLLIGNY;;3.7;5.6;;
ARGENTAN;BRIOUZE;;6.4;9.5;;
VESOUL;LURE;;6.8;10.2;;
MONTPON-MÉNESTÉROL;ST ASTIER;;7.7;11.5;;
LE CATEAU;MAUBEUGE;;8.3;12.5;;
POUILLY SUR LOIRE;NEVERS;;8.3;12.5;;
COUTRAS;MUSSIDAN;;8.5;12.7;;
ANGERS ST LAUD;SAUMUR RIVE DROITE;;9.1;13.7;;
BRIOUZE;VIRE;;9.5;14.2;;
PÉRIGUEUX;CONDAT LE LARDIN;;9.8;14.6;;
BUSIGNY;MAUBEUGE;;9.8;14.6;;
BLOIS;SAINT PIERRE DES CORPS;;10.7;16.1;;
VIRE;GRANVILLE;;11.1;16.6;;
CAEN;LISON;;11.2;16.8;;
CREIL;NOYON;;11.2;16.8;;
BERNAY;TROUVILLE-DEAUVILLE;;11.9;17.8;;
