dep;arr;Prix.d.appel.2nde;Plein.Tarif.Loisir.2nde;X1ère.classe
AEROPORTCDGTGVROISSY;STNAZAIRE;25;88;128
MASSYTGV;REDON;20;94;136
CONFLANSFIND'OISE;ROUENRIVEDROITE;0;35;47
LETEIL;LYONPERRACHE;0;35;47
EVREUXEMBRANCHEMENT;AEROPORTCDGTGVROISSY;15;38;48
PARISEST;CHALONSENCHAMPAGNE;15;44;61
CROIXWASQUEHAL;PARISNORD;15;63;82
FONTAINEBLEAUAVON;LECREUSOTMONTCEAUMONTCHANIN;0;67;84
LAROCHEMIGENNES;LYONPERRACHE;20;73;97
CANNES;VALENCE;20;73;107
DIJONVILLE;CHERBOURG;20;86;112
RIVES;PARISGAREDELYON;0;96;130
STRASBOURG;TGVHAUTEPICARDIE;25;110;134
NANTES;ARRAS;25;108;137
ANTIBES;BEAUNE;25;116;151
LECROISIC;LYONPARTDIEU;25;113;150
LILLEFLANDRES;NIORT;25;118;149
ANGERSSTLAUD;ANNECY;25;120;161
GUINGAMP;LYONPERRACHE;25;122;156
GRENOBLE;LABAULEESCOUBLAC;25;125;165
PORNICHET;GRENOBLE;25;125;165
BOURGSTMAURICE;DOUAI;25;127;167
ALBERTVILLE;DOUAI;25;127;167
MODANE;DOUAI;0;127;167
LANDRY;DOUAI;25;127;167
LILLEFLANDRES;STAVRELACHAMBRE;0;127;167
STAVRELACHAMBRE;DOUAI;0;127;167
LILLEFLANDRES;ANNEMASSE;25;127;167
GUINGAMP;LAROCHESURFORON;30;137;179
MOUTIERSSALINSBRIDES;STBRIEUC;30;137;179
LORIENT;STMICHELVALLOIRE;0;137;179
LANDRY;AURAY;30;137;179
BOURGSTMAURICE;REDON;30;137;179
CHAMBERYCHALLESLESEAUX;LORIENT;30;137;179
MOUTIERSSALINSBRIDES;REDON;30;137;179
ANNECY;REDON;30;137;179
DAX;MASSYTGV;25;122;173
FUTUROSCOPE;ARCACHON;0;51;76
PARISMONTPARNASSEET;AURAY;20;100;140
AEROPORTCDGTGVROISSY;LANDERNEAU;20;100;142
AEROPORTCDGTGVROISSY;ROSPORDEN;20;103;147
LILLEFLANDRES;QUIMPER;25;131;169
IRUN;BIARRITZ;0;8.3;12.6
MORLAIX;PLOUARETTREGOR;0;9.1;13.7
BAYEUX;CAEN;0;9.1;18.5
IRUN;BAYONNE;0;10.6;15
PAU;LOURDES;0;10.6;15.5
QUIMPERLE;QUIMPER;0;11.9;17.5
STMAIXENTDEUXSEVRES;POITIERS;0;13.2;19.5
BOURGENBRESSE;LONSLESAUNIER;0;13.5;20.5
QUIMPERLE;VANNES;0;16;23
ROSPORDEN;AURAY;0;17.5;24
ARLES;MARSEILLEBLANCARDE;0;18;26
NANCYVILLE;SARREBOURG;0;18.5;27
ANGERSSTLAUD;NANTES;0;19.5;27.5
ROSPORDEN;VANNES;0;21;31
AIXENPROVENCETGV;HYERES;0;21.5;31
BELLEGARDE;STGERVAISLESBAINSLEFAYET;0;21.5;32
LEPINLELACLABAUCHE;STGERVAISLESBAINSLEFAYET;0;24;36
LYONPERRACHE;ANNECY;0;24.5;37
RUFFECCHARENTE;LIBOURNE;0;28.5;42
ANCENIS;LESSABLESD'OLONNE;0;28.5;42
ARLES;STPERAY;0;31;44
LYONSTEXUPERY;LECREUSOTMONTCEAUMONTCHANIN;0;33;47
LETEIL;MONTPELLIER;0;34;48
BORDEAUXSTJEAN;MONTAUBANVILLEBOURBON;0;36;53
LYONPARTDIEU;AIMELAPLAGNE;0;44;64
AGEN;NARBONNE;15;44;66
MACONLOCHETGV;NEUFCHATEAU;15;45;67
LYONPARTDIEU;MONTBELIARD;15;46;68
LIMOGESBENEDICTINS;JUVISY;20;62;90
POITIERS;BAYONNE;0;65;93
FUTUROSCOPE;MONTAUBANVILLEBOURBON;20;67;97
BRIVELAGAILLARDE;JUVISYTGV;25;72;107
CHATELLERAULT;TARBES;0;73;105
AIXLESBAINSLEREVARD;ANTIBES;25;105;163
MONTPELLIER;MONTAUBANVILLEBOURBON;15;47;72
MONACOMONTECARLO;VENTIMIGLIASTAZIONE;0;3.9;7.7
STRAPHAELVALESCURE;VENTIMIGLIASTAZIONE;0;20;28.5
BAYEUX;VERSAILLESCHANTIERS;15;44;64
GENEVE;AVIGNON;20;66;97
FORBACH;PARISEST;25;74;124
ANNECY;NICEVILLE;25;108;160
AVIGNON;ANNECY;0;77;106
AVIGNON;MANTESLAJOLIE;25;116;162
GRENOBLE;PARISGAREDELYON;25;108;145
COLMAR;AVIGNONTGV;20;114;149
STRASBOURG;LYONPARTDIEU;20;87;111
PARISEST;SARREBOURG;25;85;124
THIONVILLE;COLMAR;0;47;64
THIONVILLE;CHALONSURSAONE;25;83;115
PARISAUSTERLITZ;NANTES;20;85;122
LORRAINETGV;NANTES;25;121;158
MARSEILLESTCHARLES;STPIERREDESCORPS;25;125;167
BORDEAUXSTJEAN;MASSYTGV;20;96;126
MASSYTGV;FUTUROSCOPE;20;75;107
LAROCHELLEVILLE;PARISMONTPARNASSEET;25;89;123
MARNELAVALLEECHESSY;VANNES;20;88;123
LAVAL;LYONPARTDIEU;25;96;135
TOURS;ANGOULEME;0;38;53
FACTUREBIGANOS;POITIERS;0;47;68
STRASBOURG;RENNES;30;146;189
AEROPORTCDGTGVROISSY;ROSPORDEN;20;95;134
MASSYTGV;QUIMPER;20;95;134
LILLEFLANDRES;STMALO;25;116;147
ANGOULEME;ARRAS;25;120;156
RENNES;VALENCETGV;25;139;168
MARSEILLESTCHARLES;RENNES;30;148;188
NIORT;PARISMONTPARNASSEET;20;90;126
LEPOULIGUEN;AEROPORTCDGTGVROISSY;25;88;128
JUVISY;MARNELAVALLEECHESSY;0;35;47
AVIGNONTGV;STRAPHAELVALESCURE;15;53;77
BEZIERS;VALENCE;15;54;78
MELUN;LECREUSOTMONTCEAUMONTCHANIN;0;67;84
CARCASSONNE;VALENCE;20;65;95
PARISMONTPARNASSEVAUGIRARD;FUTUROSCOPE;0;75;107
LYONPERRACHE;SETE;20;70;93
LYONPARTDIEU;AGDE;20;70;95
LORRAINETGV;PARISEST;20;77;110
AIXENPROVENCETGV;TOULOUSEMATABIAU;20;69;100
LEPOULIGUEN;LECREUSOTMONTCEAUMONTCHANIN;0;107;140
STNAZAIRE;LECREUSOTMONTCEAUMONTCHANIN;25;107;140
FUTUROSCOPE;DOUAI;25;109;143
ARRAS;STNAZAIRE;25;108;140
LEMANS;GRENOBLE;25;111;154
CHAMPAGNEARDENNE;LIBOURNE;25;112;149
PORNICHET;LYONPERRACHE;25;113;150
DOLEVILLE;LILLEFLANDRES;25;113;139
LYONSTEXUPERY;ARRAS;25;116;154
DUNKERQUE;LYONSTEXUPERY;25;116;154
LILLEEUROPE;NIORT;25;118;149
AIMELAPLAGNE;TGVHAUTEPICARDIE;25;119;156
STAVRELACHAMBRE;TGVHAUTEPICARDIE;25;119;156
CHAMBERYCHALLESLESEAUX;RENNES;25;127;166
BREST;LECREUSOTMONTCEAUMONTCHANIN;25;129;166
LILLEFLANDRES;STMICHELVALLOIRE;0;127;167
DUNKERQUE;STJEANDEMAURIENNEARVAN;25;127;167
LEHAVRE;AIXENPROVENCETGV;25;129;177
AVIGNON;TGVHAUTEPICARDIE;30;136;174
MODANE;AURAY;0;137;179
STGERVAISLESBAINSLEFAYET;REDON;30;137;179
VANNES;AIXLESBAINSLEREVARD;30;137;179
AVIGNONTGV;ARRAS;30;144;180
LILLEFLANDRES;BAYONNE;30;144;174
TGVHAUTEPICARDIE;STJEANDELUZCIBOURE;30;144;174
IRUN;TGVHAUTEPICARDIE;30;144;174
MODANE;MORLAIX;30;147;190
BOURGSTMAURICE;QUIMPER;30;147;190
ANNECY;QUIMPER;30;147;190
LILLEFLANDRES;ANTIBES;30;155;196
MARNELAVALLEECHESSY;DOUAI;15;52;66
MARNELAVALLEECHESSY;VIERZONVILLE;20;62;78
COLMAR;CHALONSURSAONE;20;72;90
BEZIERS;MACONVILLE;20;81;107
BESANCONVIOTTE;MONTPELLIER;20;111;144
MULHOUSEVILLE;LYONSTEXUPERY;20;78;100
LYONPERRACHE;BELFORTMONTBELIARDTGV;15;67;85
LYONPERRACHE;BESANCONFRANCHECOMTETGV;15;51;68
MASSYTGV;NANCYVILLE;0;77;110
AEROPORTCDGTGVROISSY;MONTAUBANVILLEBOURBON;25;109;142
BEZIERS;MARNELAVALLEECHESSY;25;116;162
BEZIERS;PARISNORD;25;116;162
PARISGAREDELYON;MONACOMONTECARLO;25;132;185
AEROPORTCDGTGVROISSY;ANNEMASSE;25;108;152
MARNELAVALLEECHESSY;EVIANLESBAINS;25;108;152
MARNELAVALLEECHESSY;LECREUSOTMONTCEAUMONTCHANIN;20;82;114
STETIENNECHATEAUCREUX;MARNELAVALLEECHESSY;25;100;141
DUNKERQUE;PARISNORD;15;66;85
AVIGNON;TOULON;0;41;58
COLMAR;AEROPORTCDGTGVROISSY;25;96;137
STRASBOURG;CHAMBERYCHALLESLESEAUX;25;102;120
STRASBOURG;ALBERTVILLE;20;114;139
COLMAR;AIMELAPLAGNE;25;109;134
BESANCONFRANCHECOMTETGV;ALBERTVILLE;20;75;89
MOUTIERSSALINSBRIDES;BESANCONFRANCHECOMTETGV;20;78;95
LAVAL;MODANE;25;127;166
BESANCONVIOTTE;ALBERTVILLE;0;75;89
LILLEFLANDRES;TOURCOING;0;4.3;7.7
GROISYTHORENSLACAILLE;ANNECY;0;5.3;8.4
LEPOULIGUEN;NANTES;0;18.5;26.5
LEMANS;STMALO;0;46;67
LEMANS;PLOUARETTREGOR;0;55;81
MASSYTGV;AURAY;20;100;140
BREST;MARNELAVALLEECHESSY;20;100;142
ARRAS;STJEANDELUZCIBOURE;30;144;174
NIMES;ARRAS;30;144;184
BREST;SALLANCHESCOMBLOUXMEGEVE;30;147;190
CHAMBERYCHALLESLESEAUX;QUIMPER;30;147;190
LAROCHESURFORON;MORLAIX;30;147;190
MORLAIX;ANNEMASSE;30;147;190
LILLEEUROPE;STRAPHAELVALESCURE;30;155;196
AVIGNON;MONTPELLIER;0;25.5;35
PARISGAREDELYON;HYERES;25;121;166
LASOUTERRAINE;AEROPORTCDGTGVROISSY;20;80;101
MULHOUSEVILLE;BELFORTMONTBELIARDTGV;0;16.5;20.5
CARCASSONNE;MACONVILLE;25;84;124
MONTPELLIER;CHALONSURSAONE;20;81;107
MACONVILLE;STRAPHAELVALESCURE;25;107;140
COLMAR;LYONPERRACHE;20;85;110
LILLEFLANDRES;BELFORTMONTBELIARDTGV;20;129;166
ANCENIS;PARISMONTPARNASSEET;20;77;111
LAROCHELLEVILLE;AEROPORTCDGTGVROISSY;25;89;123
AEROPORTCDGTGVROISSY;NIORT;20;84;118
STMAIXENTDEUXSEVRES;MARNELAVALLEECHESSY;20;84;118
STMAIXENTDEUXSEVRES;AEROPORTCDGTGVROISSY;20;84;118
DAX;AEROPORTCDGTGVROISSY;25;110;143
AEROPORTCDGTGVROISSY;STRAPHAELVALESCURE;25;132;185
MASSYTGV;ALBERTVILLE;25;115;154
MASSYTGV;STJEANDEMAURIENNEARVAN;25;111;149
STJEANDEMAURIENNEARVAN;PARISNORD;25;111;149
PARISGAREDELYON;BELLEGARDE;25;91;129
DOLEVILLE;AEROPORTCDGTGVROISSY;20;79;105
AEROPORTCDGTGVROISSY;VALENCE;25;103;143
PARISNORD;VALENCE;25;103;143
ARLES;PARISGAREDELYON;25;105;147
EPINAL;PARISEST;25;85;123
RETHEL;PARISEST;15;44;69
LYONSTEXUPERY;CHATELLERAULT;25;96;135
AVIGNON;NARBONNE;0;46;61
SAVERNE;FUTUROSCOPE;30;137;182
AIXENPROVENCETGV;ECOLEVALENTIN;0;111;144
VENDOMEVILLIERSSURLOIR;VALENCE;25;113;148
AVIGNONTGV;PERPIGNAN;15;48;62
AIMELAPLAGNE;BELFORTMONTBELIARDTGV;25;92;115
LANDRY;BELFORTMONTBELIARDTGV;25;92;115
LANDRY;BESANCONFRANCHECOMTETGV;20;78;97
VERSAILLESCHANTIERS;BOURGSTMAURICE;25;118;161
MASSYPALAISEAU;ALBERTVILLE;25;115;154
GRENOBLE;MARSEILLESTCHARLES;20;65;86
PORNICHET;LEPOULIGUEN;0;3;5.7
MONACOMONTECARLO;MENTON;0;3;5.8
CHAMBERYCHALLESLESEAUX;AIXLESBAINSLEREVARD;0;4.6;7.9
PORNICHET;LECROISIC;0;4.6;7.9
FACTUREBIGANOS;LATESTE;0;5.1;8.4
LABAULEESCOUBLAC;STNAZAIRE;0;6;9.2
AGDE;SETE;0;7.5;11.5
CLUSES;LAROCHESURFORON;0;7.9;11.3
CARENTAN;VALOGNES;0;8.5;12.6
CULOZ;BELLEGARDE;0;9.3;13.7
BORDEAUXSTJEAN;FACTUREBIGANOS;0;10.6;15.5
DUNKERQUE;HAZEBROUCK;0;10.7;15.5
BEZIERS;SETE;0;12.1;18.5
NIMES;MONTPELLIER;0;13.2;19.5
CULOZ;ANNECY;0;14.2;20.5
COLMAR;SAVERNE;0;15.5;23
PLOUARETTREGOR;LANDERNEAU;0;16;23
GROISYTHORENSLACAILLE;STGERVAISLESBAINSLEFAYET;0;16.5;23.5
DIJONVILLE;MONTBARD;0;16.5;23.5
ANNECY;SALLANCHESCOMBLOUXMEGEVE;0;17.5;24
LEPINLELACLABAUCHE;BOURGSTMAURICE;0;21;31
MACONLOCHETGV;LECREUSOTMONTCEAUMONTCHANIN;0;23;34
MENTON;LESARCSDRAGUIGNAN;0;23.5;35
TOULON;MONACOMONTECARLO;0;35;49
LYONPARTDIEU;MOUCHARD;0;24.5;36
QUIMPER;VANNES;0;24.5;37
LILLEEUROPE;CALAISFRETHUN;0;26;39
CHAMBERYCHALLESLESEAUX;BOURGSTMAURICE;0;28.5;42
