dep;arr;Prix.d.appel.2nde;Plein.Tarif.Loisir.2nde;X1ère.classe
AVIGNONTGV;MANTESLAJOLIE;25;116;162
LYONSTEXUPERY;MASSYPALAISEAU;0;97;133
VENDOMEVILLIERSSURLOIR;NIORT;0;42;62
MARSEILLESTCHARLES;TOULOUSEMATABIAU;20;69;100
STRASBOURG;NANTES;30;146;189
DIJONVILLE;COLMAR;20;57;75
STRASBOURG;MACONVILLE;20;78;99
STRASBOURG;NIMES;20;119;152
STRASBOURG;AVIGNONTGV;20;114;149
PARISEST;SAVERNE;25;85;124
METZVILLE;BESANCONFRANCHECOMTETGV;15;62;82
NANCYVILLE;BEZIERS;25;118;152
CULMONTCHALINDREY;MONTPELLIER;25;84;113
MACONLOCHETGV;VERSAILLESCHANTIERS;20;83;120
MODANE;VERSAILLESCHANTIERS;25;113;154
STAVRELACHAMBRE;MASSYPALAISEAU;25;109;144
BEZIERS;MASSYTGV;25;116;162
PARISAUSTERLITZ;AURAY;20;91;127
PARISAUSTERLITZ;LABAULEESCOUBLAC;25;87;126
BORDEAUXSTJEAN;MARNELAVALLEECHESSY;20;96;126
LILLEFLANDRES;RENNES;25;108;137
LILLEEUROPE;REDON;25;108;137
LILLEEUROPE;STMALO;25;110;140
RENNES;VALENCETGV;25;132;160
MASSYTGV;LIBOURNE;20;96;126
PARISMONTPARNASSEET;SABLE;15;67;95
PARISMONTPARNASSEET;LAROCHESURYON;25;83;120
LESSABLESD'OLONNE;PARISMONTPARNASSEET;25;85;122
PARISMONTPARNASSEET;VANNES;20;88;123
MASSYTGV;LABAULEESCOUBLAC;25;87;126
LECROISIC;MARNELAVALLEECHESSY;25;87;126
MASSYTGV;BAYONNE;25;112;147
LEMANS;LYONPARTDIEU;25;95;132
LAVAL;LAMBALLE;0;30;43
ROSPORDEN;VITRE;0;44;64
LEMANS;AURAY;0;49;73
HENDAYE;RUFFECCHARENTE;0;55;82
PARISMONTPARNASSEET;LANDERNEAU;20;92;131
LILLEEUROPE;VANNES;25;121;160
LAVAL;PARISMONTPARNASSEET;15;78;112
ANGERSSTLAUD;AEROPORTCDGTGVROISSY;20;75;107
ANGERSSTLAUD;MARNELAVALLEECHESSY;20;75;107
MARNELAVALLEECHESSY;NANTES;20;88;127
MASSYTGV;PORNICHET;25;88;128
AEROPORTCDGTGVROISSY;RENNES;20;93;131
MASSYTGV;ARCACHON;25;118;173
AVIGNONTGV;SETE;0;27.5;36
REIMS;BARLEDUC;0;31;43
ROUBAIX;PARISNORD;15;63;82
VALENCETGV;AGDE;20;54;78
PARISAUSTERLITZ;STPIERREDESCORPS;15;65;89
AVIGNON;MACONVILLE;15;65;84
AVIGNON;MACONLOCHETGV;15;61;77
AVIGNONTGV;MACONLOCHETGV;15;61;77
TOURS;AEROPORTCDGTGVROISSY;15;65;89
CARCASSONNE;LYONPERRACHE;20;79;109
LYONPARTDIEU;LESARCSDRAGUIGNAN;20;80;109
LYONPARTDIEU;ROUENRIVEDROITE;25;97;133
BESANCONVIOTTE;CAEN;25;97;125
LORRAINETGV;ARRAS;25;102;122
ANGERSSTLAUD;LILLEFLANDRES;25;101;127
LECROISIC;LECREUSOTMONTCEAUMONTCHANIN;25;107;140
AVIGNONTGV;SENS;25;103;142
RIVES;TGVHAUTEPICARDIE;0;107;144
NANTES;DOUAI;25;108;137
LILLEEUROPE;LASOUTERRAINE;25;114;144
LEPOULIGUEN;LYONPARTDIEU;25;113;150
NANCYVILLE;LESARCSDRAGUIGNAN;25;123;159
LYONPARTDIEU;DOUAI;25;116;154
TGVHAUTEPICARDIE;SALLANCHESCOMBLOUXMEGEVE;25;119;156
ANGERSSTLAUD;SALLANCHESCOMBLOUXMEGEVE;25;120;161
CAEN;CHAMBERYCHALLESLESEAUX;25;125;165
CAEN;ALBERTVILLE;25;125;165
CHAMBERYCHALLESLESEAUX;NANTES;25;125;165
AIMELAPLAGNE;BERNAY;25;125;165
ARRAS;VALENCETGV;25;127;159
BRIVELAGAILLARDE;LILLEEUROPE;25;130;163
LILLEFLANDRES;MOUTIERSSALINSBRIDES;25;127;167
STAVRELACHAMBRE;LILLEEUROPE;0;127;167
DUNKERQUE;STMICHELVALLOIRE;25;127;167
LANDRY;NANTES;25;127;167
STAVRELACHAMBRE;NANTES;0;127;167
SAUMUR;MARSEILLESTCHARLES;25;133;173
AVIGNONTGV;TGVHAUTEPICARDIE;30;136;174
NIMES;TGVHAUTEPICARDIE;30;136;174
LANDRY;LORIENT;30;137;179
STAVRELACHAMBRE;STBRIEUC;0;137;179
ANNEMASSE;AURAY;30;137;179
AVIGNONTGV;DOUAI;30;144;180
MONTPELLIER;NANTES;30;142;180
AVIGNON;NANTES;30;142;180
CLUSES;MORLAIX;30;147;190
CANNES;TGVHAUTEPICARDIE;30;155;196
BORDEAUXSTJEAN;LYONSTEXUPERY;25;115;156
MARNELAVALLEECHESSY;ARRAS;15;50;61
DIJONVILLE;PARISNORD;20;65;89
PARISNORD;TOULON;25;121;166
FRASNE;PARISGAREDELYON;20;82;109
BESANCONVIOTTE;MULHOUSEVILLE;15;38;49
STRASBOURG;VALENCETGV;20;107;141
MACONVILLE;NARBONNE;25;84;124
DIJONVILLE;SETE;0;101;134
AIXENPROVENCETGV;CHALONSURSAONE;20;87;113
MARSEILLESTCHARLES;BOURGENBRESSE;20;82;107
NANCYVILLE;NIMES;25;112;146
BESANCONVIOTTE;LYONPERRACHE;15;51;68
NANCYVILLE;STPIERREDESCORPS;25;106;140
LEMANS;NANCYVILLE;25;106;140
AEROPORTCDGTGVROISSY;SETE;25;116;162
AEROPORTCDGTGVROISSY;NARBONNE;25;116;162
LANDRY;MARNELAVALLEECHESSY;25;118;161
MODANE;AEROPORTCDGTGVROISSY;25;113;154
MARNELAVALLEECHESSY;SALLANCHESCOMBLOUXMEGEVE;25;119;163
AEROPORTCDGTGVROISSY;LECREUSOTMONTCEAUMONTCHANIN;20;82;114
HAZEBROUCK;PARISNORD;15;60;74
LILLEEUROPE;SAVENAY;0;108;137
BASELSBB;BELFORTMONTBELIARDTGV;0;21;28.5
BORDEAUXSTJEAN;SAVERNE;30;160;214
ANGERSSTLAUD;SAVERNE;30;136;180
STRASBOURG;VENDOMEVILLIERSSURLOIR;25;127;168
MACONVILLE;ECOLEVALENTIN;0;41;53
CHAMBERYCHALLESLESEAUX;BELFORTMONTBELIARDTGV;20;77;89
AIXENPROVENCETGV;GRENOBLE;20;65;86
AVIGNON;GRENOBLE;0;47;67
AGEN;NIMES;20;56;85
LOURDES;TARBES;0;6.6;10
FUTUROSCOPE;CHATELLERAULT;0;6.7;10.5
HENDAYE;MASSYTGV;25;123;173
LYONPERRACHE;RENNES;25;113;149
ANGERSSTLAUD;LYONPARTDIEU;25;99;140
VENDOMEVILLIERSSURLOIR;POITIERS;0;37;53
TOURS;LIBOURNE;20;53;78
MASSYTGV;LORIENT;20;100;140
LILLEFLANDRES;REDON;25;113;144
METZVILLE;MEUSE;0;33;46
LETEIL;LYONSTEXUPERY;0;35;47
MACONLOCHETGV;VALENCETGV;15;41;51
NIMES;LYONPERRACHE;15;60;78
DUNKERQUE;AEROPORTCDGTGVROISSY;15;66;85
AVIGNON;CHALONSURSAONE;0;72;92
AVIGNONTGV;VENTIMIGLIASTAZIONE(IT);20;65;89
LAROCHEMIGENNES;LYONPARTDIEU;20;73;97
METZVILLE;PARISEST;20;77;110
NIMES;BEAUNE;20;81;107
CARCASSONNE;LYONPARTDIEU;20;79;109
LYONSTEXUPERY;NICEVILLE;25;86;121
AVIGNONTGV;NEUFCHATEAU;25;87;116
ANGERSSTLAUD;CHAMPAGNEARDENNE;25;92;122
ANGERSSTLAUD;LECREUSOTMONTCEAUMONTCHANIN;25;95;135
AIXENPROVENCETGV;LAROCHEMIGENNES;25;95;137
AVIGNONTGV;MELUN;25;103;142
PORNICHET;LILLEEUROPE;25;108;140
CANNES;BEAUNE;25;116;151
LAROCHELLEVILLE;TGVHAUTEPICARDIE;25;112;145
ANGERSSTLAUD;LORRAINETGV;25;112;148
LILLEEUROPE;LYONPERRACHE;25;116;154
LYONPERRACHE;DOUAI;25;116;154
MOUTIERSSALINSBRIDES;TGVHAUTEPICARDIE;25;119;156
BOURGSTMAURICE;TGVHAUTEPICARDIE;25;119;156
LILLEFLANDRES;LAMBALLE;0;119;153
MORLAIX;TGVHAUTEPICARDIE;25;120;158
AVIGNON;TOURS;25;125;167
LILLEFLANDRES;VALENCETGV;25;127;159
ARRAS;ROSPORDEN;25;125;161
STJEANDEMAURIENNEARVAN;DOUAI;0;127;167
DOUAI;SALLANCHESCOMBLOUXMEGEVE;0;127;167
DUNKERQUE;AIXLESBAINSLEREVARD;25;127;167
GRENOBLE;RENNES;25;127;167
STAVRELACHAMBRE;RENNES;25;132;170
GUINGAMP;STJEANDEMAURIENNEARVAN;0;137;179
MODANE;LORIENT;30;137;179
GUINGAMP;AIMELAPLAGNE;30;137;179
AIMELAPLAGNE;AURAY;30;137;179
STAVRELACHAMBRE;REDON;0;137;179
HENDAYE;LILLEEUROPE;30;144;174
BREST;CLUSES;30;147;190
BREST;ANNECY;30;147;190
ANNEMASSE;QUIMPER;30;147;190
BEZIERS;TGVHAUTEPICARDIE;30;150;188
AGDE;DOUAI;30;150;188
LILLEFLANDRES;STRAPHAELVALESCURE;30;155;196
LYONSTEXUPERY;MELUN;25;81;110
AEROPORTCDGTGVROISSY;TOULON;25;121;166
LIMOGESBENEDICTINS;MARNELAVALLEECHESSY;25;88;111
MARNELAVALLEECHESSY;AIXLESBAINSLEREVARD;25;103;136
DIJONVILLE;BESANCONFRANCHECOMTETGV;0;24.5;33
STRASBOURG;BELFORTMONTBELIARDTGV;15;41;52
MACONVILLE;CANNES;25;107;140
AVIGNONTGV;CHALONSURSAONE;20;72;92
MARSEILLESTCHARLES;TOUL;25;117;151
NANCYVILLE;MARNELAVALLEECHESSY;0;77;110
MACONLOCHETGV;MONTELIMAR;15;48;63
BORDEAUXSTJEAN;NANCYVILLE;30;141;185
LEMANS;MARNELAVALLEECHESSY;15;60;81
CARCASSONNE;MARNELAVALLEECHESSY;25;116;162
MARNELAVALLEECHESSY;ANTIBES;25;132;185
STAVRELACHAMBRE;PARISGAREDELYON;25;109;144
PARISNORD;LECREUSOTMONTCEAUMONTCHANIN;20;82;114
MACONLOCHETGV;PARISNORD;20;83;120
PARISNORD;BETHUNE;15;57;70
LYONPERRACHE;FUTUROSCOPE;25;96;135
LAVAL;LYONSTEXUPERY;25;96;135
NANCYVILLE;RENNES;25;121;158
AVIGNONTGV;BORDEAUXSTJEAN;20;96;126
AIXENPROVENCETGV;BORDEAUXSTJEAN;25;107;142
PARISGAREDELYON;VENTIMIGLIASTAZIONE;25;132;185
NANTES;SAVERNE;30;142;188
SAVERNE;TGVHAUTEPICARDIE;25;110;134
MARSEILLESTCHARLES;ECOLEVALENTIN;0;111;144
LYONPERRACHE;ECOLEVALENTIN;0;51;68
MULHOUSEVILLE;CHAMBERYCHALLESLESEAUX;25;85;103
AVIGNON;BELLEGARDE;0;64;91
BASELSBB;AIXENPROVENCETGV;25;130;170
ARRAS;LENS;0;6.3;9.6
NICEVILLE;ANTIBES;0;6.4;9.8
HAZEBROUCK;STOMER;0;6.5;10
LEPOULIGUEN;STNAZAIRE;0;6.7;10.5
AIMELAPLAGNE;MOUTIERSSALINSBRIDES;0;6.7;10.5
NICEVILLE;VENTIMIGLIASTAZIONE(IT);0;8.3;12.1
BOULOGNEVILLE;RANGDUFLIERSVERTON;0;10.6;16
ORTHEZ;LOURDES;0;12;17.5
BONNEVILLE;ANNECY;0;12;18
DAX;BAYONNE;0;12.6;18.5
CARCASSONNE;NARBONNE;0;14.6;21.5
STMAIXENTDEUXSEVRES;FUTUROSCOPE;0;14.8;21.5
CHERBOURG;LISON;0;17;26
LETEIL;VILLENEUVELESAVIGNONS;0;17.5;24
BARLEDUC;CHALONSENCHAMPAGNE;0;18.5;27
LYONSTEXUPERY;BOURGENBRESSE;0;17.5;27.5
BONNEVILLE;AIXLESBAINSLEREVARD;0;19.5;27.5
BELLEGARDE;SALLANCHESCOMBLOUXMEGEVE;0;20.5;30
DOL;VITRE;0;21;30
TOURS;POITIERS;0;21;31
CAGNESSURMER;LESARCSDRAGUIGNAN;0;20.5;37
LISON;LISIEUX;0;22;32
FRASNE;MONTBARD;0;23.5;31
TOULON;ANTIBES;0;26;40
BORDEAUXSTJEAN;MORCENX;0;26;42
CHERBOURG;CAEN;0;26.5;39
LYONSTEXUPERY;LONSLESAUNIER;0;26.5;44
LYONPARTDIEU;ANNEMASSE;0;33;47
LORIENT;RENNES;0;34;48
LETEIL;MARSEILLESTCHARLES;0;36;51
FUTUROSCOPE;LIBOURNE;0;39;55
STETIENNECHATEAUCREUX;LECREUSOTMONTCEAUMONTCHANIN;15;40;58
CHATELLERAULT;LIBOURNE;0;41;60
LEMANS;LEPOULIGUEN;0;44;65
NIMES;TOULOUSEMATABIAU;15;47;72
LAVAL;LANDERNEAU;0;49;73
LIMOGESBENEDICTINS;JUVISYTGV;20;62;90
NANCYVILLE;LYONPARTDIEU;20;63;100
VERSAILLESCHANTIERS;CARENTAN;20;52;86
ANGERSSTLAUD;VENDOMEVILLIERSSURLOIR;0;31;47
VALENCE;AGDE;15;43;64
AGDE;LECREUSOTMONTCEAUMONTCHANIN;25;75;110
CULOZ;ANTIBES;0;98;143
AIXENPROVENCETGV;MANTESLAJ.TGV;0;116;162
AVIGNON;MANTESLAJ.TGV;0;116;162
AVIGNONTGV;MASSYPALAISEAU;25;116;162
LYONPARTDIEU;AEROPORTCDGTGVROISSY;25;97;133
VENDOMEVILLIERSSURLOIR;STMAIXENT;0;39;55
LONSLESAUNIER;MONTBELIARD;0;30;44
BEZIERS;MONTELIMAR;15;41;60
ANGERSSTLAUD;STRASBOURG;30;141;182
NEUFCHATEAU;VALENCETGV;25;79;102
TOUL;NARBONNE;25;107;138
AGDE;MASSYTGV;25;116;162
PARISAUSTERLITZ;GUINGAMP;20;88;123
PARISAUSTERLITZ;REDON;20;84;122
BORDEAUXSTJEAN;LORRAINETGV;30;141;185
PARISMONTPARNASSEET;RENNES;20;80;113
LAMBALLE;PARISMONTPARNASSEET;20;84;122
PARISMONTPARNASSEET;TOULOUSEMATABIAU;25;109;142
ANGERSSTLAUD;LYONPERRACHE;25;96;135
LEPOULIGUEN;NANTES;0;18;26
LAVAL;LEMANS;0;20;28.5
AEROPORTCDGTGVROISSY;LANDERNEAU;20;92;131
LAVAL;LILLEEUROPE;25;102;131
TGVHAUTEPICARDIE;REDON;0;106;136
ANGOULEME;TGVHAUTEPICARDIE;25;120;156
LEMANS;MARSEILLESTCHARLES;25;125;168
ANGOULEME;PARISMONTPARNASSEET;20;96;133
NANTES;PARISMONTPARNASSEET;20;88;127
LABAULEESCOUBLAC;PARISMONTPARNASSEET;25;88;128
PARISMONTPARNASSEET;ARCACHON;25;118;173
PARISMONTPARNASSEET;SAVENAY;25;88;128
MASSYTGV;STNAZAIRE;25;88;128
PORNICHET;PARISMONTPARNASSEET;25;88;128
MASSYTGV;STBRIEUC;20;94;136
LEMANS;LORIENT;0;58;85
AEROPORTCDGTGVROISSY;AURAY;20;100;140
LILLEEUROPE;MONTPELLIER;30;144;184
QUIMPER;SALLANCHESCOMBLOUXMEGEVE;30;147;190
CARCASSONNE;TGVHAUTEPICARDIE;30;150;188
ARRAS;TOULOUSEMATABIAU;30;150;188
LEHAVRE;LYONSTEXUPERY;25;97;133
LYONSTEXUPERY;STNAZAIRE;25;109;145
MASSYTGV;TGVHAUTEPICARDIE;15;45;50
LASOUTERRAINE;MARNELAVALLEECHESSY;20;80;101
MONTBARD;BESANCONFRANCHECOMTETGV;15;43;48
PARISGAREDELYON;BEAUNE;15;77;103
COLMAR;BOURGENBRESSE;20;70;90
BELFORTMONTBELIARDTGV;BOURGENBRESSE;15;51;67
NANCYVILLE;LILLEEUROPE;25;102;122
NANCYVILLE;AEROPORTCDGTGVROISSY;0;77;110
BIARRITZ;MARNELAVALLEECHESSY;25;112;147
HENDAYE;PARISAUSTERLITZ;25;112;147
PARISGAREDELYON;VALENCETGV;25;107;147
AEROPORTCDGTGVROISSY;VALENCETGV;25;107;147
PARISGAREDELYON;ANTIBES;25;132;185
MASSYTGV;MOUTIERSSALINSBRIDES;25;118;159
AEROPORTCDGTGVROISSY;STMICHELVALLOIRE;25;113;154
PARISGAREDELYON;BOURGENBRESSE;20;84;121
PARISEST;SEDAN;15;49;80
PARISNORD;DOUAI;15;52;66
AVIGNON;HYERES;0;43;62
SAVERNE;STPIERREDESCORPS;25;127;168
MULHOUSEVILLE;ECOLEVALENTIN;0;38;49
VALENCETGV;ECOLEVALENTIN;0;73;95
VENDOMEVILLIERSSURLOIR;DOUAI;25;101;134
VENDOMEVILLIERSSURLOIR;AEROPORTCDGTGVROISSY;15;65;89
STRASBOURG;MOUTIERSSALINSBRIDES;25;117;144
STRASBOURG;BOURGSTMAURICE;25;117;146
MULHOUSEVILLE;LANDRY;25;102;127
VERSAILLESCHANTIERS;ALBERTVILLE;25;115;154
ROUBAIX;CROIXWASQUEHAL;0;1.6;4.8
BREST;LANDERNEAU;0;5.5;8.9
DOLEVILLE;MOUCHARD;0;9.2;13.5
ARLES;VILLENEUVELESAVIGNONS;0;9.8;14.3
CANNES;STRAPHAELVALESCURE;0;10.2;15
ANNEMASSE;EVIANLESBAINS;0;10.6;15.5
FRASNE;MOUCHARD;0;10.8;16.5
LAROCHESURFORON;STGERVAISLESBAINSLEFAYET;0;11.9;17.5
CAMBRAI;ARRAS;0;12.9;19
LILLEFLANDRES;ARRAS;0;13.7;20
NICEVILLE;STRAPHAELVALESCURE;0;15;22.5
BEZIERS;MONTPELLIER;0;17;24
MORLAIX;STBRIEUC;0;19.5;27.5
VILLENEUVELESAVIGNONS;MONTPELLIER;0;21;31
NANCYVILLE;REMIREMONT;0;21;32
CAEN;VALOGNES;0;22;39
NANCYVILLE;SAVERNE;0;21.5;33
NIORT;CHATELLERAULT;0;23.5;35
SURGERES;POITIERS;0;24;35
BREAUTEBEUZEVILLE;MANTESLAJ.TGV;0;28.5;42
LYONPERRACHE;CHALONSURSAONE;0;27.5;41
MARSEILLESTCHARLES;ORANGE;0;29;43
ANGERSSTLAUD;STNAZAIRE;0;30;43
MODANE;MACONLOCHETGV;0;40;61
LYONPERRACHE;BEAUNE;0;31;45
BOULOGNEVILLE;LILLEEUROPE;0;32;47
BEZIERS;TOULOUSEMATABIAU;0;32;47
VILLENEUVELESAVIGNONS;TOULON;0;35;49
MORLAIX;RENNES;0;35;49
MARSEILLEBLANCARDE;ANTIBES;0;37;52
LYONPARTDIEU;THONONLESBAINS;0;39;55
MACONLOCHETGV;AIMELAPLAGNE;0;42;65
ANGERSSTLAUD;RENNES;0;41;60
BEZIERS;MONTAUBANVILLEBOURBON;15;41;62
CHERBOURG;BERNAY;0;44;64
VILLENEUVELESAVIGNONS;TOULOUSEMATABIAU;20;53;79
LYONPARTDIEU;NEUFCHATEAU;20;54;87
ANGOULEME;TOULOUSEMATABIAU;20;60;85
CHATELLERAULT;STJEANDELUZCIBOURE;0;70;103
BORDEAUXSTJEAN;NIMES;25;76;113
ANTIBES;VENTIMIGLIASTAZIONE;0;11.9;17.5
LYONSTEXUPERY;MOUTIERSSALINSBRIDES;0;33;48
VENDOMEVILLIERSSURLOIR;NANTES;0;42;63
GENEVE;VILLENEUVELESAVIGNONS;20;66;97
SAUMUR;GRENOBLE;25;93;158
AVIGNON;AIXLESBAINSLEREVARD;0;69;104
AVIGNONTGV;MANTESLAJ.TGV;0;116;162
PARISGAREDELYON;BESANCONFRANCHECOMTETGV;20;83;111
PARISGAREDELYON;ECOLEVALENTIN;0;83;111
STRASBOURG;STPIERREDESCORPS;25;132;170
MULHOUSEVILLE;MONTPELLIER;20;123;160
MULHOUSEVILLE;AIXENPROVENCETGV;20;124;161
COLMAR;PARISEST;25;112;150
DIJONVILLE;METZVILLE;20;64;83
METZVILLE;BELFORTMONTBELIARDTGV;15;54;76
THIONVILLE;NIMES;25;127;170
NEUFCHATEAU;LESARCSDRAGUIGNAN;25;110;141
NANCYVILLE;AGDE;25;118;152
PARISAUSTERLITZ;VITRE;15;72;104
PARISAUSTERLITZ;PLOUARETTREGOR;20;91;127
LILLEFLANDRES;ANGOULEME;25;119;155
AIXENPROVENCETGV;STPIERREDESCORPS;25;125;167
PARISMONTPARNASSEET;CHATELLERAULT;20;75;107
NANTES;PARISMONTPARNASSEET;20;85;122
PARISMONTPARNASSEET;MONTAUBANVILLEBOURBON;25;109;142
LABAULEESCOUBLAC;AEROPORTCDGTGVROISSY;25;87;126
STMAIXENTDEUXSEVRES;PARISMONTPARNASSEET;20;84;118
LEMANS;LORIENT;0;53;78
TOURS;BORDEAUXSTJEAN;20;53;79
PAU;CHATELLERAULT;0;69;100
LORIENT;ARRAS;25;116;153
TGVHAUTEPICARDIE;LIBOURNE;25;120;157
AIXENPROVENCETGV;STPIERREDESCORPS;25;125;168
PARISMONTPARNASSEET;SABLE;15;72;102
PARISMONTPARNASSEET;STBRIEUC;20;94;136
MASSYTGV;LAROCHELLEVILLE;25;94;130
LYONSTEXUPERY;VALENCE;0;30;38
AEROPORTCDGTGVROISSY;MANTESLAJOLIE;0;35;47
CONFLANSFIND'OISE;AEROPORTCDGTGVROISSY;0;35;47
MANTESLAJ.TGV;MARNELAVALLEECHESSY;0;35;47
CHAMPAGNEARDENNE;PARISEST;15;44;61
AVIGNONTGV;HYERES;0;43;62
LEHAVRE;AEROPORTCDGTGVROISSY;15;53;65
VALENCETGV;LESARCSDRAGUIGNAN;20;65;93
AIXENPROVENCETGV;BOURGENBRESSE;20;79;103
MACONLOCHETGV;LESARCSDRAGUIGNAN;25;81;109
LYONPARTDIEU;MELUN;25;81;110
CHAMPAGNEARDENNE;STPIERREDESCORPS;25;83;110
LAROCHEMIGENNES;VALENCETGV;25;83;116
LEMANS;LECREUSOTMONTCEAUMONTCHANIN;25;87;121
BORDEAUXSTJEAN;PARISAUSTERLITZ;20;96;126
AGEN;LYONPARTDIEU;25;103;139
BEAUNE;TOULOUSEMATABIAU;25;97;143
SURGERES;TGVHAUTEPICARDIE;25;112;145
LAVAL;GRENOBLE;25;114;158
NIORT;DOUAI;25;118;149
STMAIXENTDEUXSEVRES;DOUAI;25;118;149
CAEN;BOURGSTMAURICE;25;125;165
CHAMBERYCHALLESLESEAUX;LISIEUX;25;125;165
LILLEEUROPE;ANNECY;25;127;168
RENNES;AIXLESBAINSLEREVARD;25;127;166
BORDEAUXSTJEAN;MACONVILLE;25;128;174
LILLEFLANDRES;BOURGSTMAURICE;25;127;167
MODANE;LILLEEUROPE;25;127;167
MODANE;ARRAS;0;127;167
LILLEFLANDRES;SALLANCHESCOMBLOUXMEGEVE;25;127;167
DUNKERQUE;LAROCHESURFORON;25;127;167
MARSEILLESTCHARLES;TGVHAUTEPICARDIE;30;136;174
VANNES;ALBERTVILLE;30;137;179
ALBERTVILLE;REDON;30;137;179
AVIGNONTGV;NANTES;30;142;180
AGEN;LILLEEUROPE;30;144;174
MASSYTGV;SAVENAY;25;88;128
LAVAL;RENNES;0;18.5;26.5
LEMANS;VITRE;0;27.5;42
LEMANS;QUIMPER;0;67;95
BREST;PARISMONTPARNASSEET;20;100;142
BREST;MASSYTGV;20;100;142
PARISMONTPARNASSEET;LANDERNEAU;20;100;142
BEAUNE;CHALONSURSAONE;0;9;13.5
CAGNESSURMER;MENTON;0;9.6;14.6
CAMBRAI;VALENCIENNES;0;11.9;21
TOULON;LESARCSDRAGUIGNAN;0;16;23.5
LANDRY;ALBERTVILLE;0;16.5;23
NANTES;REDON;0;17.5;24
VILLENEUVELESAVIGNONS;SETE;0;18;23.5
NIMES;ORANGE;0;17.5;25
STJEANDEMAURIENNEARVAN;AIXLESBAINSLEREVARD;0;19;27
METZVILLE;BARLEDUC;0;21;32
QUIMPER;AURAY;0;21.5;31
CANNES;TOULON;0;24.5;38
MOUTIERSSALINSBRIDES;BOURGENBRESSE;0;25.5;34
MONTPELLIER;ORANGE;0;25.5;38
LILLEFLANDRES;CALAISVILLE;0;26;39
GRENOBLE;LYONPARTDIEU;0;26;38
GRENOBLE;LYONPERRACHE;0;26;38
NIMES;NARBONNE;0;27;42
DAX;TARBES;0;28.5;42
QUIMPER;REDON;0;33;47
LEMANS;NANTES;0;34;49
MASSYPALAISEAU;YVETOT;0;35;50
BONNEVILLE;BOURGENBRESSE;0;35;50
MIRAMAS;VALENCE;0;35;50
NIMES;PERPIGNAN;15;37;53
AIXENPROVENCETGV;MENTON;0;43;65
BRIVELAGAILLARDE;VIERZONVILLE;15;48;72
LIBOURNE;TARBES;20;52;76
JUVISYTGV;LASOUTERRAINE;20;52;80
NANCYVILLE;LYONSTEXUPERY;20;63;100
MACONLOCHETGV;STMICHELVALLOIRE;0;40;61
STJEANDEMAURIENNEARVAN;BOURGENBRESSE;0;38;53
LILLEEUROPE;MOUCHARD;25;113;139
LYONPERRACHE;PARISGAREDELYON;25;97;133
MASSYTGV;GRENOBLE;25;108;145
BESANCONVIOTTE;AEROPORTCDGTGVROISSY;20;83;111
STRASBOURG;ARRAS;25;132;152
MULHOUSEVILLE;MARSEILLESTCHARLES;20;124;161
NIMES;NEUFCHATEAU;25;85;113
THIONVILLE;LYONSTEXUPERY;25;94;124
TOUL;SETE;25;103;140
NIMES;PARISMONTPARNASSE;25;114;160
PARISAUSTERLITZ;LAVAL;15;72;104
PARISAUSTERLITZ;NIORT;20;84;118
AEROPORTCDGTGVROISSY;FUTUROSCOPE;20;75;107
RENNES;DOUAI;25;108;137
DOUAI;REDON;25;108;137
ANGOULEME;PARISMONTPARNASSEET;20;87;121
PORNICHET;AEROPORTCDGTGVROISSY;25;87;126
LEPOULIGUEN;AEROPORTCDGTGVROISSY;25;87;126
MASSYTGV;GUINGAMP;20;88;123
DAX;MASSYTGV;25;110;143
AEROPORTCDGTGVROISSY;MORLAIX;20;91;127
MASSYTGV;QUIMPERLE;20;95;134
MARNELAVALLEECHESSY;FUTUROSCOPE;20;79;113
MASSYTGV;RUFFECCHARENTE;20;93;129
ANGOULEME;CHAMPAGNEARDENNE;25;106;138
ROSPORDEN;TGVHAUTEPICARDIE;25;106;147
DOUAI;LIBOURNE;25;130;172
BORDEAUXSTJEAN;LORRAINETGV;30;150;197
LECROISIC;AEROPORTCDGTGVROISSY;25;88;128
CHAMPAGNEARDENNE;MEUSE;0;23.5;33
MASSYTGV;AEROPORTCDGTGVROISSY;0;35;47
MANTESLAJ.TGV;MASSYPALAISEAU;0;35;47
MANTESLAJOLIE;LISIEUX;0;37;45
PARISEST;REIMS;15;44;61
CHAMPAGNEARDENNE;MARNELAVALLEECHESSY;15;44;61
BEZIERS;MARSEILLESTCHARLES;0;46;61
PARISMONTPARNASVAUGIRARDBLS;FUTUROSCOPE;0;75;107
LYONPERRACHE;NARBONNE;20;74;101
DIJONVILLE;AVIGNON;20;81;106
NICEVILLE;VALENCE;20;73;107
CARCASSONNE;CHALONSURSAONE;25;84;124
LEHAVRE;LYONPARTDIEU;25;97;133
LAVAL;ARRAS;25;97;124
COUTRAS;PARISMONTPARNASSEET;0;96;126
MELUN;VALENCETGV;25;93;133
LABAULEESCOUBLAC;TGVHAUTEPICARDIE;0;98;124
LABAULEESCOUBLAC;LECREUSOTMONTCEAUMONTCHANIN;0;107;140
STNAZAIRE;DOUAI;25;108;140
LILLEFLANDRES;LECREUSOTMONTCEAUMONTCHANIN;25;111;142
LYONPERRACHE;ARRAS;25;116;154
LANDRY;TGVHAUTEPICARDIE;25;119;156
ANGERSSTLAUD;AIXLESBAINSLEREVARD;25;120;161
SURGERES;LILLEEUROPE;25;122;155
