PARIS MONTPARNASSE 1 ET 2;BAYONNE;25;112;147
DAX;PARIS MONTPARNASSE 1 ET 2;25;110;143
AEROPORT CDG 2 TGV ROISSY;REDON;20;84;122
MARNE LA VALLEE CHESSY;REDON;20;84;122
MASSY TGV;ST JEAN DE LUZ CIBOURE;25;112;147
PAU;MASSY TGV;25;112;147
MASSY TGV;MONTAUBAN VILLE BOURBON;25;109;142
MASSY TGV;SAVENAY;20;85;122
ANGOULEME;ARCACHON;0;36;50
LE MANS;LES SABLES D'OLONNE;0;41;60
QUIMPERLE;MARNE LA VALLEE CHESSY;20;95;134
AEROPORT CDG2 TGV ROISSY;POITIERS;20;79;113
AEROPORT CDG2 TGV ROISSY;FUTUROSCOPE;20;79;113
TGV HAUTE PICARDIE;VANNES;0;106;136
ANGOULEME;DOUAI;25;120;156
AIX EN PROVENCE TGV;RENNES;30;148;188
AGEN;PARIS MONTPARNASSE 1 ET 2;25;120;173
AEROPORT CDG2 TGV ROISSY;ST NAZAIRE;25;88;128
MASSY TGV;REDON;20;94;136
CONFLANS FIN D'OISE;ROUEN RIVE DROITE;0;35;47
LE TEIL;LYON PERRACHE;0;35;47
EVREUX EMBRANCHEMENT;AEROPORT CDG 2 TGV ROISSY;15;38;48
PARIS EST;CHALONS EN CHAMPAGNE;15;44;61
CROIX WASQUEHAL;PARIS NORD;15;63;82
FONTAINEBLEAU AVON;LE CREUSOT MONTCEAU MONTCHANIN;0;67;84
LAROCHE MIGENNES;LYON PERRACHE;20;73;97
CANNES;VALENCE;20;73;107
DIJON VILLE;CHERBOURG;20;86;112
RIVES;PARIS GARE DE LYON;0;96;130
STRASBOURG;TGV HAUTE PICARDIE;25;110;134
NANTES;ARRAS;25;108;137
ANTIBES;BEAUNE;25;116;151
LE CROISIC;LYON PART DIEU;25;113;150
LILLE FLANDRES;NIORT;25;118;149
ANGERS ST LAUD;ANNECY;25;120;161
GUINGAMP;LYON PERRACHE;25;122;156
GRENOBLE;LA BAULE ESCOUBLAC;25;125;165
PORNICHET;GRENOBLE;25;125;165
BOURG ST MAURICE;DOUAI;25;127;167
ALBERTVILLE;DOUAI;25;127;167
MODANE;DOUAI;0;127;167
LANDRY;DOUAI;25;127;167
LILLE FLANDRES;ST AVRE LA CHAMBRE;0;127;167
ST AVRE LA CHAMBRE;DOUAI;0;127;167
LILLE FLANDRES;ANNEMASSE;25;127;167
GUINGAMP;LA ROCHE SUR FORON;30;137;179
MOUTIERS SALINS BRIDES;ST BRIEUC;30;137;179
LORIENT;ST MICHEL VALLOIRE;0;137;179
LANDRY;AURAY;30;137;179
BOURG ST MAURICE;REDON;30;137;179
CHAMBERY CHALLES LES EAUX;LORIENT;30;137;179
MOUTIERS SALINS BRIDES;REDON;30;137;179
ANNECY;REDON;30;137;179
DAX;MASSY TGV;25;122;173
FUTUROSCOPE;ARCACHON;0;51;76
