Origine;Destination ;Prix d'appel 2nde;Plein Tarif 2nde;Plein Tarif 1ère
PARIS BERCY;COLLIOURE;25.0;109.0;168.0
GOURDON;ELNE;15.0;54.0;85.0
CHATEAUROUX;LA SOUTERRAINE;;17.0;25.5
UZERCHE;LA SOUTERRAINE;;22.5;35.0
BRIVE LA GAILLARDE;VIERZON VILLE;15.0;46.0;72.0
PARIS GARE DE LYON;VICHY;15.0;54.0;83.0
GOURDON;PORT VENDRES VILLE;20.0;57.0;88.0
BANYULS SUR MER;PORT VENDRES VILLE;;2.2;3.8
BANYULS SUR MER;CAHORS;15.0;52.0;82.0
CASTELNAUDARY;LES AUBRAIS ORLEANS;25.0;82.0;126.0
CAUSSADE TARN ET GARONNE;MONTAUBAN VILLE BOURBON;;7.0;12.4
GOURDON;MONTAUBAN VILLE BOURBON;;20.5;32.0
AGEN;MARMANDE;;13.5;21.0
ARGELES SUR MER;CERBERE;;6.0;10.3
PERPIGNAN;SOUILLAC;15.0;55.0;87.0
ELNE;SOUILLAC;20.0;58.0;89.0
CAUSSADE TARN ET GARONNE;SOUILLAC;;20.5;32.0
CANNES;ST RAPHAEL VALESCURE;;9.7;15.0
NEVERS;ST GERMAIN DES FOSSES;;21.0;32.5
AVIGNON;SETE;;22.5;36.0
BORDEAUX ST JEAN;MARSEILLE ST CHARLES;20.0;86.0;132.0
MONTPELLIER;MARSEILLE ST CHARLES;10.0;31.5;47.0
CARCASSONNE;MARMANDE;15.0;42.0;65.0
CARCASSONNE;MONTPELLIER;10.0;27.5;43.0
AVIGNON;MONTPELLIER;;19.0;29.0
BRIVE LA GAILLARDE;CARCASSONNE;15.0;47.0;74.0
PARIS GARE DE LYON;CAHORS;15.0;77.0;118.0
UZERCHE;CERBERE;25.0;69.0;106.0
COLLIOURE;NARBONNE;;18.5;28.5
PARIS GARE DE LYON;PORT VENDRES VILLE;25.0;109.0;168.0
LA SOUTERRAINE;SALBRIS;10.0;28.5;44.0
BRIVE LA GAILLARDE;PARIS BERCY;15.0;71.0;106.0
BRIVE LA GAILLARDE;PERPIGNAN;20.0;61.0;93.0
PERPIGNAN;PARIS GARE DE LYON;25.0;107.0;165.0
UZERCHE;PARIS BERCY;15.0;64.0;100.0
AGEN;NIMES;20.0;59.0;90.0
BORDEAUX ST JEAN;TOULOUSE MATABIAU;15.0;40.5;62.0
CERBERE;TOULOUSE MATABIAU;10.0;41.0;63.0
BRIVE LA GAILLARDE;BANYULS SUR MER;20.0;65.0;100.0
