Origine;Destination ;Prix d'appel 2nde;Plein Tarif 2nde;Plein Tarif 1ère
BRIVE LA GAILLARDE;CAUSSADE TARN ET GARONNE;;25.5;40.0
MARSEILLE ST CHARLES;TOULOUSE MATABIAU;20.0;62.0;93.0
LIMOGES BENEDICTINS;TOULOUSE MATABIAU;15.0;49.0;76.0
CHATEAUROUX;TOULOUSE MATABIAU;15.0;63.0;97.0
CANNES;TOULOUSE MATABIAU;20.0;79.0;122.0
LIMOGES BENEDICTINS;LES AUBRAIS ORLEANS;15.0;45.0;69.0
CASTELNAUDARY;MONTAUBAN VILLE BOURBON;;21.0;32.5
ARGELES SUR MER;COLLIOURE;;2.2;3.8
ELNE;CERBERE;;8.6;13.5
BEZIERS;SETE;;11.3;18.0
PARIS GARE DE LYON;COLLIOURE;25.0;109.0;168.0
PARIS AUSTERLITZ;COLLIOURE;25.0;109.0;168.0
PARIS AUSTERLITZ;MOULINS SUR ALLIER;15.0;49.0;75.0
MARMANDE;MONTAUBAN VILLE BOURBON;;24.0;37.5
ALLASSAC;CAUSSADE TARN ET GARONNE;10.0;27.5;43.0
LIMOGES BENEDICTINS;CAHORS;10.0;34.5;52.0
MARSEILLE ST CHARLES;NARBONNE;15.0;42.0;67.0
CLERMONT FERRAND;NEVERS;10.0;30.0;46.0
ARLES;NARBONNE;10.0;32.5;49.0
ARGELES SUR MER;NARBONNE;;18.0;27.0
CANNES;NICE VILLE;;9.7;14.6
NEVERS;RIOM CHATEL GUYON;;27.5;43.0
ELNE;PERPIGNAN;;4.3;7.6
AVIGNON;NIMES;;11.3;17.5
CASTELNAUDARY;TOULOUSE MATABIAU;;13.5;20.5
PARIS BERCY;VIERZON VILLE;15.0;33.5;51.0
CAUSSADE TARN ET GARONNE;BANYULS SUR MER;15.0;48.0;76.0
NIMES;ARLES;;11.3;17.5
BRIVE LA GAILLARDE;TOULOUSE MATABIAU;15.0;36.0;53.0
SOUILLAC;VIERZON VILLE;15.0;50.0;79.0
PARIS BERCY;TOULOUSE MATABIAU;15.0;86.0;130.0
MARMANDE;TOULOUSE MATABIAU;10.0;31.0;47.0
CAUSSADE TARN ET GARONNE;PARIS GARE DE LYON;15.0;80.0;123.0
LA SOUTERRAINE;PARIS BERCY;15.0;51.0;79.0
CARCASSONNE;PARIS BERCY;20.0;97.0;150.0
BORDEAUX ST JEAN;LES ARCS DRAGUIGNAN;25.0;98.0;151.0
ELNE;LES AUBRAIS ORLEANS;25.0;98.0;152.0
LIMOGES BENEDICTINS;LA SOUTERRAINE;;14.1;21.5
AVIGNON;MARSEILLE ST CHARLES;;18.0;27.0
BEZIERS;CARCASSONNE;;18.0;27.0
LIMOGES BENEDICTINS;PARIS BERCY;15.0;61.0;90.0
UZERCHE;NARBONNE;20.0;58.0;89.0
AGEN;MONTPELLIER;15.0;53.0;83.0
TOULON;ST RAPHAEL VALESCURE;;19.0;29.0
ARLES;SETE;;22.5;36.0
LIMOGES BENEDICTINS;BANYULS SUR MER;25.0;74.0;113.0
MONTPELLIER;TOULON;15.0;39.5;61.0
LIMOGES BENEDICTINS;ST SEBASTIEN;;17.0;25.5
BRIVE LA GAILLARDE;SOUILLAC;;10.8;16.5
CAUSSADE TARN ET GARONNE;PORT VENDRES VILLE;15.0;48.0;76.0
PARIS AUSTERLITZ;PERPIGNAN;20.0;107.0;165.0
PERPIGNAN;PORT VENDRES VILLE;;9.1;14.1
CLERMONT FERRAND;PARIS GARE DE LYON;15.0;61.0;91.0
CASTELNAUDARY;PARIS BERCY;25.0;92.0;144.0
ARGELES SUR MER;PERPIGNAN;;7.0;11.3
ARLES;MARSEILLE ST CHARLES;;18.0;27.0
LIMOGES BENEDICTINS;ELNE;25.0;72.0;110.0
UZERCHE;COLLIOURE;25.0;68.0;105.0
PERPIGNAN;COLLIOURE;;8.1;12.9
LIMOGES BENEDICTINS;NARBONNE;20.0;65.0;100.0
CARCASSONNE;PARIS AUSTERLITZ;20.0;97.0;150.0
ARLES;MARMANDE;25.0;69.0;107.0
LA SOUTERRAINE;TOULOUSE MATABIAU;15.0;54.0;84.0
BANYULS SUR MER;VIERZON VILLE;25.0;92.0;144.0
BRIVE LA GAILLARDE;ARGENTON SUR CREUSE;10.0;34.5;52.0
CHATEAUROUX;ARGENTON SUR CREUSE;;9.7;14.6
ARGELES SUR MER;PARIS GARE DE LYON;25.0;108.0;167.0
ARGENTON SUR CREUSE;LES AUBRAIS ORLEANS;10.0;30.5;46.0
CHATEAUROUX;LES AUBRAIS ORLEANS;;26.0;41.0
BRIVE LA GAILLARDE;LA SOUTERRAINE;10.0;27.5;43.0
BANYULS SUR MER;COLLIOURE;;3.3;5.3
BRIVE LA GAILLARDE;COLLIOURE;20.0;64.0;98.0
CARCASSONNE;COLLIOURE;;26.5;42.0
ALLASSAC;VIERZON VILLE;15.0;43.0;68.0
UZERCHE;VIERZON VILLE;15.0;42.0;64.0
ALLASSAC;MONTAUBAN VILLE BOURBON;10.0;31.0;47.0
ARGELES SUR MER;PORT VENDRES VILLE;;3.3;5.3
UZERCHE;SOUILLAC;;17.0;25.5
GOURDON;TOULOUSE MATABIAU;10.0;27.5;43.0
CARCASSONNE;TOULOUSE MATABIAU;;18.5;28.5
ELNE;PARIS AUSTERLITZ;25.0;108.0;166.0
GOURDON;PERPIGNAN;15.0;53.0;83.0
SOUILLAC;CAHORS;;14.6;22.5
GOURDON;CAHORS;;11.3;17.5
AVIGNON;BEZIERS;10.0;28.5;44.0
AGEN;ARLES;20.0;64.0;100.0
