trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008921F15015~TGA114246,12:44:00,12:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008921F15015~TGA114246,14:06:00,14:13:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008921F15015~TGA114246,14:50:00,14:54:00,StopPoint:OCETGV-87481002,2,"",0,0,
OCESN008921F15015~TGA114246,15:29:00,15:32:00,StopPoint:OCETGV-87481705,3,"",0,0,
OCESN008921F15015~TGA114246,15:46:00,15:50:00,StopPoint:OCETGV-87481754,4,"",0,0,
OCESN008921F15015~TGA114246,15:59:00,15:59:00,StopPoint:OCETGV-87481788,5,"",0,0,
OCESN008931F2702786971,18:43:00,18:43:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F2702786971,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F2702786971,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F2702786971,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F2702786971,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F2702786971,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F2702786971,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008913F4404486498,09:38:00,09:38:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008913F4404486498,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008913F4404486498,11:14:00,11:17:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008913F4404486498,11:54:00,11:58:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008913F4404486498,12:33:00,12:36:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008913F4404486498,12:49:00,12:53:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008913F4404486498,13:03:00,13:03:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008931F2802886964,18:42:00,18:42:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F2802886964,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F2802886964,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F2802886964,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F2802886964,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
OCESN008931F2802886964,21:46:00,21:50:00,StopPoint:OCETGV-87481754,5,"",0,0,
OCESN008931F2802886964,21:59:00,21:59:00,StopPoint:OCETGV-87481788,6,"",0,0,
OCESN008931F2602686963,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008931F2602686963,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008931F2602686963,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008931F2602686963,20:50:00,20:54:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008931F2602686963,21:29:00,21:32:00,StopPoint:OCETGV-87481705,4,"",0,0,
